,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
0,2023-02-01,4.1,0.0,67.0,138.0,0.9
1,2023-02-02,6.0,0.0,64.0,136.0,0.7
2,2023-02-03,5.9,0.0,60.0,141.0,0.7
3,2023-02-04,6.6,0.0,56.0,144.0,0.7
4,2023-02-05,7.1,0.0,47.0,148.0,0.8
5,2023-02-06,4.8,0.0,59.0,150.0,1.7
6,2023-02-07,4.7,0.05,69.0,83.0,1.0
7,2023-02-08,6.0,0.0,68.0,71.0,1.3
8,2023-02-09,6.7,0.0,68.0,104.0,0.8
9,2023-02-10,5.2,0.0,63.0,138.0,1.0
10,2023-02-11,4.9,0.0,62.0,153.0,1.6
11,2023-02-12,5.8,0.0,65.0,138.0,1.2
12,2023-02-13,5.5,0.0,72.0,157.0,1.2
13,2023-02-14,7.0,0.0,70.0,101.0,1.4
14,2023-02-15,8.9,0.0,64.0,140.0,1.0
15,2023-02-16,7.2,0.0,61.0,164.0,0.8
16,2023-02-17,8.0,0.0,49.0,169.0,1.0
17,2023-02-18,8.2,0.0,49.0,85.0,0.7
18,2023-02-19,11.7,0.0,55.0,138.0,0.9
19,2023-02-20,12.7,0.0,49.0,117.0,1.2
20,2023-02-21,11.5,0.0,53.0,137.0,1.0
21,2023-02-22,9.8,0.0,67.0,331.0,1.0
22,2023-02-23,6.2,0.0,72.0,101.0,2.0
23,2023-02-24,3.4,0.0,62.0,187.0,1.0
24,2023-02-25,3.1,0.0,66.0,166.0,1.1
25,2023-02-26,4.2,0.0,64.0,181.0,1.0
26,2023-02-27,2.6,0.0,42.0,169.0,1.4
27,2023-02-28,2.1,0.0,51.0,196.0,1.1
28,2023-03-01,1.1,0.0,53.0,161.0,0.9
29,2023-03-02,3.0,0.0,56.0,197.0,0.9
30,2023-03-03,4.6,0.0,57.0,197.0,1.1
31,2023-03-04,5.7,0.0,59.0,204.0,0.8
32,2023-03-05,3.6,0.13,79.0,65.0,0.8
33,2023-03-06,8.1,0.0,83.0,174.0,2.0
34,2023-03-07,10.6,0.01,80.0,171.0,2.8
35,2023-03-08,12.4,0.07,80.0,124.0,3.1
36,2023-03-09,13.2,0.49,79.0,167.0,2.8
37,2023-03-10,12.9,0.0,70.0,195.0,2.3
38,2023-03-11,13.7,0.0,78.0,186.0,1.9
39,2023-03-12,15.6,0.0,68.0,203.0,1.1
40,2023-03-13,13.3,0.0,71.0,222.0,2.7
41,2023-03-14,11.5,0.0,51.0,219.0,1.7
42,2023-03-15,11.6,0.0,57.0,225.0,0.7
43,2023-03-16,12.7,0.0,57.0,133.0,0.9
44,2023-03-17,13.0,0.0,59.0,215.0,3.2
45,2023-03-18,10.4,0.0,71.0,191.0,1.6
46,2023-03-19,12.0,0.0,57.0,240.0,0.9
47,2023-03-20,11.7,0.0,56.0,228.0,1.0
48,2023-03-21,12.8,0.0,55.0,233.0,1.0
49,2023-03-22,13.6,0.0,51.0,241.0,1.4
50,2023-03-23,13.8,0.0,47.0,225.0,1.8
51,2023-03-24,12.9,0.0,68.0,168.0,1.9
52,2023-03-25,13.1,0.0,69.0,241.0,1.9
53,2023-03-26,14.2,0.0,50.0,275.0,2.1
54,2023-03-27,12.6,0.0,42.0,261.0,1.0
55,2023-03-28,13.3,0.0,38.0,256.0,0.9
56,2023-03-29,15.5,0.0,43.0,254.0,1.3
57,2023-03-30,15.9,0.0,51.0,229.0,2.7
58,2023-03-31,15.0,0.0,60.0,215.0,2.9
59,2023-04-01,13.7,0.0,51.0,242.0,2.4
60,2023-04-02,11.7,0.0,41.0,280.0,1.2
61,2023-04-03,11.6,0.0,39.0,265.0,1.0
