,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento,Ventas
0,2021-02-01,11.3,0.0,73.0,132.0,3.2,76.55
1,2021-02-03,10.0,0.0,88.0,49.0,1.4,46.88
2,2021-02-04,10.7,0.0,85.0,75.0,1.5,100.06
3,2021-02-05,11.7,0.13,75.0,124.0,1.6,377.79
4,2021-02-06,8.7,0.05,91.0,60.0,1.4,292.16
5,2021-02-07,6.9,0.02,81.0,123.0,2.6,381.85
6,2021-02-08,7.1,0.34,90.0,108.0,3.6,95.58
7,2021-02-10,11.4,0.0418518518518518,77.0,114.77777777777776,1.755555555555555,123.54
8,2021-02-11,11.4,0.09,96.0,41.0,2.1,98.72
9,2021-02-12,10.9,0.1,78.0,131.0,2.2,221.84
10,2021-02-13,10.2,0.0,67.0,142.0,1.2,649.75
11,2021-02-14,8.7,0.0,75.0,156.0,0.9,925.23
12,2021-02-15,9.9,0.0,76.0,130.0,1.0,147.57
13,2021-02-17,10.1,0.0,76.0,137.0,1.1,179.45
14,2021-02-18,9.0,0.0,73.0,149.0,1.6,225.56
15,2021-02-19,9.3,0.0,67.0,164.0,1.2,376.25
16,2021-02-20,10.3,0.0,59.0,157.0,2.0,731.47
17,2021-02-21,9.2,0.21,78.0,46.0,3.0,242.19
18,2021-02-22,7.8,0.0,66.0,103.0,1.8,128.92
19,2021-02-24,8.7,0.0,79.0,119.0,1.6,117.97
20,2021-02-25,10.1,0.0,72.0,113.0,1.3,176.8
21,2021-02-26,10.7,0.0,68.0,151.0,0.8,478.45
22,2021-02-27,11.7,0.0,59.0,189.0,0.8,1002.54
23,2021-02-28,9.1,0.0,67.0,156.0,2.3,535.21
24,2021-03-01,8.5,0.0,75.0,14.0,1.6,132.9
25,2021-03-03,11.1,0.0,74.0,110.0,0.7,110.58
26,2021-03-04,8.6,0.0,85.0,81.0,0.7,95.05
27,2021-03-05,9.7,0.0,76.0,142.0,1.0,413.29
28,2021-03-06,11.4,0.0,64.0,142.0,1.2,718.97
29,2021-03-07,9.9,0.12,75.0,144.0,1.1,475.69
30,2021-03-09,8.4,0.1,62.0,190.0,1.6,190.29
31,2021-03-10,7.4,0.0,64.0,218.0,1.2,206.3
32,2021-03-11,10.6,0.0,71.0,209.0,1.7,303.8
33,2021-03-12,10.3,0.0,67.0,187.0,1.9,321.59
34,2021-03-13,7.8,0.0,60.0,229.0,1.8,839.04
35,2021-03-14,9.5,0.0,59.0,215.0,1.1,1112.0
36,2021-03-16,11.5,0.0,50.0,234.0,2.5,308.65
37,2021-03-17,12.5,0.0,46.0,241.0,3.8,230.1
38,2021-03-18,8.6,0.0,44.0,203.0,2.2,219.07
39,2021-03-19,6.8,0.0,59.0,119.0,1.6,530.62
40,2021-03-20,6.6,0.0,42.0,251.0,2.6,496.77
41,2021-03-21,7.4,0.0,44.0,248.0,1.3,773.94
42,2021-03-23,10.4,0.0,52.0,249.0,1.0,323.49
43,2021-03-24,11.4,0.0,50.0,250.0,1.3,301.79
44,2021-03-25,12.0,0.0,51.0,243.0,1.5,392.43
45,2021-03-26,11.9,0.0,53.0,216.0,2.1,378.63
46,2021-03-27,11.6,0.0,60.0,169.0,1.3,851.68
47,2021-03-28,13.2,0.0,57.0,229.0,1.7,1117.14
48,2021-03-30,15.9,0.0,39.0,143.0,2.3,454.47
49,2021-03-31,15.3,0.0,40.0,234.0,2.1,592.7
50,2021-04-01,16.3,0.0,38.0,203.0,1.9,1203.42
51,2021-04-02,12.9,0.32,83.0,121.0,1.4,412.06
52,2021-04-03,12.5,0.05,77.0,192.0,1.0,623.34
53,2021-04-04,13.2,0.0,50.0,269.0,1.1,1366.58
54,2021-04-06,14.2,0.0,46.0,279.0,1.4,384.91
55,2021-04-07,12.9,0.0,41.0,270.0,1.9,436.2
56,2021-04-08,12.7,0.0,66.0,153.0,1.9,314.4
57,2021-04-09,10.6,0.28,77.0,94.0,1.6,339.95
58,2021-04-10,12.3,0.25,75.0,207.0,1.7,861.4
59,2021-04-11,11.8,0.38,83.0,178.0,1.7,591.65
60,2021-04-14,14.5,0.0,68.0,212.0,1.5,235.4
61,2021-04-15,13.2,0.0,66.0,121.0,2.0,198.75
62,2021-04-16,12.2,0.0,56.0,236.0,1.6,571.05
63,2021-04-17,9.9,0.0,40.0,302.0,1.7,1025.75
64,2021-04-18,10.9,0.0,46.0,295.0,1.6,1231.7
65,2021-04-20,13.6,0.0,65.0,189.0,1.7,135.15
66,2021-04-21,12.7,0.0,69.0,224.0,2.0,175.1
67,2021-04-22,12.5,0.32,82.0,150.0,1.1,139.2
68,2021-04-23,13.3,0.0,71.0,163.0,2.6,394.95
69,2021-04-24,12.4,0.2,73.0,139.0,2.6,459.4
70,2021-04-25,10.7,0.43,90.0,41.0,1.3,212.9
71,2021-04-27,13.7,0.07,79.0,182.0,1.3,172.95
72,2021-04-28,13.4,0.01,78.0,214.0,2.2,242.45
73,2021-04-29,12.6,0.01,74.0,248.0,3.5,261.3
74,2021-04-30,11.4,0.0,64.0,254.0,1.8,414.1
75,2021-05-01,11.4,0.0,62.0,184.0,1.2,698.0
76,2021-05-02,12.9,0.01,55.0,246.0,1.3,1322.05
77,2021-05-04,15.0,0.03,62.0,324.0,1.3,701.95
78,2021-05-05,17.3,0.0,47.0,321.0,1.5,471.0
79,2021-05-06,18.2,0.0,50.0,322.0,1.9,422.6
80,2021-05-07,20.6,0.0,44.0,320.0,1.7,967.8
81,2021-05-08,20.0,0.0,47.0,285.0,2.4,922.0
82,2021-05-10,11.0,0.0,68.0,287.0,3.2,131.8
83,2021-05-11,11.4,0.0,54.0,263.0,2.8,195.0
84,2021-05-12,13.9,0.01,57.0,281.0,3.5,235.4
85,2021-05-13,14.3,0.0,57.0,230.0,3.1,181.4
86,2021-05-14,16.6,0.0,46.0,327.0,2.0,737.6
87,2021-05-15,18.6,0.0,56.0,274.0,2.2,1186.0
88,2021-05-16,19.6,0.0,61.0,301.0,2.6,1020.3
89,2021-05-18,19.6,0.0,43.0,324.0,2.0,386.55
90,2021-05-19,19.3,0.0,41.0,341.0,1.8,493.4
91,2021-05-20,20.2,0.0,41.0,337.0,1.4,578.65
92,2021-05-21,21.4,0.0,44.0,303.0,1.9,729.1
93,2021-05-22,17.1,0.0,37.0,252.0,2.0,740.6
94,2021-05-23,14.8,0.0,49.0,209.0,1.8,638.2
95,2021-05-25,18.7,0.0,45.0,336.0,1.5,450.35
96,2021-05-26,20.4,0.0,53.0,304.0,2.0,438.15
97,2021-05-27,21.5,0.0,48.0,234.0,1.4,473.55
98,2021-05-28,21.0,0.06,59.0,257.0,1.5,767.5
99,2021-05-29,23.0,0.0,50.0,317.0,1.2,1216.5
100,2021-05-30,24.5,0.0,45.0,315.0,2.1,1373.95
101,2021-06-01,19.4,0.19,69.0,261.0,2.2,539.35
102,2021-06-02,19.7,0.0,57.0,308.0,1.5,578.95
103,2021-06-03,22.5,0.0,50.0,297.0,2.2,444.6
104,2021-06-04,22.4,0.0,39.0,351.0,1.9,883.55
105,2021-06-05,18.5,0.0,67.0,104.0,1.8,575.4
106,2021-06-06,21.2,0.01,58.0,311.0,1.3,1124.2
107,2021-06-07,24.6,0.0,39.0,334.0,1.6,390.0
108,2021-06-08,26.0,0.0,34.0,332.0,1.7,452.0
109,2021-06-09,26.4,0.0,29.0,353.0,2.0,552.4
110,2021-06-10,27.1,0.0,35.0,341.0,1.9,501.7
111,2021-06-11,25.3,0.03,43.0,303.0,1.9,473.05
112,2021-06-12,23.8,0.0,48.0,341.0,2.8,846.3
113,2021-06-13,25.0,0.0,40.0,308.0,2.7,898.8
114,2021-06-14,26.8,0.0,37.0,316.0,1.6,387.45
115,2021-06-16,25.2,0.45,46.0,266.0,2.5,444.65
116,2021-06-17,17.8,0.47,80.0,142.0,1.8,362.45
117,2021-06-18,18.8,0.23,71.0,272.0,2.3,480.15
118,2021-06-19,18.4,0.0,57.0,314.0,1.7,769.25
119,2021-06-20,16.2,0.0,70.0,196.0,3.7,569.8
120,2021-06-22,17.0,0.02,63.0,108.0,1.2,261.45
121,2021-06-23,15.4,0.0,73.0,159.0,1.0,468.6
122,2021-06-24,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,480.95
123,2021-06-25,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,574.8
124,2021-06-26,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,660.45
125,2021-06-27,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,761.75
126,2021-06-28,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,367.25
127,2021-06-29,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,578.65
128,2021-06-30,21.8,0.0608695652173913,52.30434782608695,274.2608695652174,2.0565217391304347,513.1
129,2021-07-01,25.53333333333333,0.0,17.0,524.0,3.7,537.1
130,2021-07-02,25.53333333333333,0.0,25.0,362.0,2.5,611.05
131,2021-07-03,25.53333333333333,0.0,35.0,340.0,2.8,995.4
132,2021-07-04,25.53333333333333,0.0,40.0,356.0,2.5,1036.4
133,2021-07-05,25.53333333333333,0.0,41.0,357.0,3.2,432.8
134,2021-07-06,25.53333333333333,0.04,62.0,64.0,2.0,277.0
135,2021-07-07,25.53333333333333,0.0,49.0,359.0,1.8,477.55
136,2021-07-08,25.53333333333333,0.0,39.0,355.0,1.5,507.85
137,2021-07-09,25.53333333333333,0.0,37.0,346.0,1.5,745.25
138,2021-07-10,25.53333333333333,0.0,39.0,399.0,1.7,716.9
139,2021-07-11,25.53333333333333,0.0056666666666666,35.46666666666667,341.26666666666665,2.056666666666666,689.7
