,Fecha,Ventas
0,2021-01-13,54.0
1,2021-01-14,50.15
2,2021-01-15,75.5
3,2021-01-16,89.45
4,2021-01-17,205.55
5,2021-01-18,73.6
6,2021-01-20,35.75
7,2021-01-21,44.19
8,2021-01-22,97.9
9,2021-01-23,193.37
10,2021-01-24,287.87
11,2021-01-25,54.9
12,2021-01-26,90.46
13,2021-01-27,178.2
14,2021-01-28,130.59
15,2021-01-29,244.68
16,2021-01-30,84.84
17,2021-01-31,180.66
18,2021-02-01,76.55
19,2021-02-03,46.88
20,2021-02-04,100.06
21,2021-02-05,377.79
22,2021-02-06,292.16
23,2021-02-07,381.85
24,2021-02-08,95.58
25,2021-02-10,123.54
26,2021-02-11,98.72
27,2021-02-12,221.84
28,2021-02-13,649.75
29,2021-02-14,925.23
30,2021-02-15,147.57
31,2021-02-17,179.45
32,2021-02-18,225.56
33,2021-02-19,376.25
34,2021-02-20,731.47
35,2021-02-21,242.19
36,2021-02-22,128.92
37,2021-02-24,117.97
38,2021-02-25,176.8
39,2021-02-26,478.45
40,2021-02-27,1002.54
41,2021-02-28,535.21
42,2021-03-01,132.9
43,2021-03-03,110.58
44,2021-03-04,95.05
45,2021-03-05,413.29
46,2021-03-06,718.97
47,2021-03-07,475.69
48,2021-03-09,190.29
49,2021-03-10,206.3
50,2021-03-11,303.8
51,2021-03-12,321.59
52,2021-03-13,839.04
53,2021-03-14,1112.0
54,2021-03-16,308.65
55,2021-03-17,230.1
56,2021-03-18,219.07
57,2021-03-19,530.62
58,2021-03-20,496.77
59,2021-03-21,773.94
60,2021-03-23,323.49
61,2021-03-24,301.79
62,2021-03-25,392.43
63,2021-03-26,378.63
64,2021-03-27,851.68
65,2021-03-28,1117.14
66,2021-03-30,454.47
67,2021-03-31,592.7
68,2021-04-01,1203.42
69,2021-04-02,412.06
70,2021-04-03,623.34
71,2021-04-04,1366.58
72,2021-04-06,384.91
73,2021-04-07,436.2
74,2021-04-08,314.4
75,2021-04-09,339.95
76,2021-04-10,861.4
77,2021-04-11,591.65
78,2021-04-14,235.4
79,2021-04-15,198.75
80,2021-04-16,571.05
81,2021-04-17,1025.75
82,2021-04-18,1231.7
83,2021-04-20,135.15
84,2021-04-21,175.1
85,2021-04-22,139.2
86,2021-04-23,394.95
87,2021-04-24,459.4
88,2021-04-25,212.9
89,2021-04-27,172.95
90,2021-04-28,242.45
91,2021-04-29,261.3
92,2021-04-30,414.1
93,2021-05-01,698.0
94,2021-05-02,1322.05
95,2021-05-04,701.95
96,2021-05-05,471.0
97,2021-05-06,422.6
98,2021-05-07,967.8
99,2021-05-08,922.0
100,2021-05-10,131.8
101,2021-05-11,195.0
102,2021-05-12,235.4
103,2021-05-13,181.4
104,2021-05-14,737.6
105,2021-05-15,1186.0
106,2021-05-16,1020.3
107,2021-05-18,386.55
108,2021-05-19,493.4
109,2021-05-20,578.65
110,2021-05-21,729.1
111,2021-05-22,740.6
112,2021-05-23,638.2
113,2021-05-25,450.35
114,2021-05-26,438.15
115,2021-05-27,473.55
116,2021-05-28,767.5
117,2021-05-29,1216.5
118,2021-05-30,1373.95
119,2021-06-01,539.35
120,2021-06-02,578.95
121,2021-06-03,444.6
122,2021-06-04,883.55
123,2021-06-05,575.4
124,2021-06-06,1124.2
125,2021-06-07,390.0
126,2021-06-08,452.0
127,2021-06-09,552.4
128,2021-06-10,501.7
129,2021-06-11,473.05
130,2021-06-12,846.3
131,2021-06-13,898.8
132,2021-06-14,387.45
133,2021-06-16,444.65
134,2021-06-17,362.45
135,2021-06-18,480.15
136,2021-06-19,769.25
137,2021-06-20,569.8
138,2021-06-22,261.45
139,2021-06-23,468.6
140,2021-06-24,480.95
141,2021-06-25,574.8
142,2021-06-26,660.45
143,2021-06-27,761.75
144,2021-06-28,367.25
