Fecha;Magnitud;Zona;Estación;Valor
2021-02-01;Humedad relativa;Noroeste;Casa de Campo;73
2021-02-02;Humedad relativa;Noroeste;Casa de Campo;91
2021-02-03;Humedad relativa;Noroeste;Casa de Campo;88
2021-02-04;Humedad relativa;Noroeste;Casa de Campo;85
2021-02-05;Humedad relativa;Noroeste;Casa de Campo;75
2021-02-06;Humedad relativa;Noroeste;Casa de Campo;91
2021-02-07;Humedad relativa;Noroeste;Casa de Campo;81
2021-02-08;Humedad relativa;Noroeste;Casa de Campo;90
2021-02-09;Humedad relativa;Noroeste;Casa de Campo;96
2021-02-10;Humedad relativa;Noroeste;Casa de Campo;
2021-02-11;Humedad relativa;Noroeste;Casa de Campo;96
2021-02-12;Humedad relativa;Noroeste;Casa de Campo;78
2021-02-13;Humedad relativa;Noroeste;Casa de Campo;67
2021-02-14;Humedad relativa;Noroeste;Casa de Campo;75
2021-02-15;Humedad relativa;Noroeste;Casa de Campo;76
2021-02-16;Humedad relativa;Noroeste;Casa de Campo;78
2021-02-17;Humedad relativa;Noroeste;Casa de Campo;76
2021-02-18;Humedad relativa;Noroeste;Casa de Campo;73
2021-02-19;Humedad relativa;Noroeste;Casa de Campo;67
2021-02-20;Humedad relativa;Noroeste;Casa de Campo;59
2021-02-21;Humedad relativa;Noroeste;Casa de Campo;78
2021-02-22;Humedad relativa;Noroeste;Casa de Campo;66
2021-02-23;Humedad relativa;Noroeste;Casa de Campo;75
2021-02-24;Humedad relativa;Noroeste;Casa de Campo;79
2021-02-25;Humedad relativa;Noroeste;Casa de Campo;72
2021-02-26;Humedad relativa;Noroeste;Casa de Campo;68
2021-02-27;Humedad relativa;Noroeste;Casa de Campo;59
2021-02-28;Humedad relativa;Noroeste;Casa de Campo;67
