Fecha;Magnitud;Zona;Estación;Valor
2021-07-01;Humedad relativa;Noroeste;Casa de Campo;17
2021-07-02;Humedad relativa;Noroeste;Casa de Campo;25
2021-07-03;Humedad relativa;Noroeste;Casa de Campo;35
2021-07-04;Humedad relativa;Noroeste;Casa de Campo;40
2021-07-05;Humedad relativa;Noroeste;Casa de Campo;41
2021-07-06;Humedad relativa;Noroeste;Casa de Campo;62
2021-07-07;Humedad relativa;Noroeste;Casa de Campo;49
2021-07-08;Humedad relativa;Noroeste;Casa de Campo;39
2021-07-09;Humedad relativa;Noroeste;Casa de Campo;37
2021-07-10;Humedad relativa;Noroeste;Casa de Campo;39
2021-07-11;Humedad relativa;Noroeste;Casa de Campo;
2021-07-12;Humedad relativa;Noroeste;Casa de Campo;28
2021-07-13;Humedad relativa;Noroeste;Casa de Campo;36
2021-07-14;Humedad relativa;Noroeste;Casa de Campo;38
2021-07-15;Humedad relativa;Noroeste;Casa de Campo;36
2021-07-16;Humedad relativa;Noroeste;Casa de Campo;32
2021-07-17;Humedad relativa;Noroeste;Casa de Campo;25
2021-07-18;Humedad relativa;Noroeste;Casa de Campo;26
2021-07-19;Humedad relativa;Noroeste;Casa de Campo;31
2021-07-20;Humedad relativa;Noroeste;Casa de Campo;28
2021-07-21;Humedad relativa;Noroeste;Casa de Campo;29
2021-07-22;Humedad relativa;Noroeste;Casa de Campo;28
2021-07-23;Humedad relativa;Noroeste;Casa de Campo;27
2021-07-24;Humedad relativa;Noroeste;Casa de Campo;31
2021-07-25;Humedad relativa;Noroeste;Casa de Campo;34
2021-07-26;Humedad relativa;Noroeste;Casa de Campo;60
2021-07-27;Humedad relativa;Noroeste;Casa de Campo;44
2021-07-28;Humedad relativa;Noroeste;Casa de Campo;34
2021-07-29;Humedad relativa;Noroeste;Casa de Campo;40
2021-07-30;Humedad relativa;Noroeste;Casa de Campo;31
2021-07-31;Humedad relativa;Noroeste;Casa de Campo;42
