Fecha;Magnitud;Zona;Estación;Valor
2021-05-01;Humedad relativa;Noroeste;Casa de Campo;62
2021-05-02;Humedad relativa;Noroeste;Casa de Campo;55
2021-05-03;Humedad relativa;Noroeste;Casa de Campo;64
2021-05-04;Humedad relativa;Noroeste;Casa de Campo;62
2021-05-05;Humedad relativa;Noroeste;Casa de Campo;47
2021-05-06;Humedad relativa;Noroeste;Casa de Campo;50
2021-05-07;Humedad relativa;Noroeste;Casa de Campo;44
2021-05-08;Humedad relativa;Noroeste;Casa de Campo;47
2021-05-09;Humedad relativa;Noroeste;Casa de Campo;62
2021-05-10;Humedad relativa;Noroeste;Casa de Campo;68
2021-05-11;Humedad relativa;Noroeste;Casa de Campo;54
2021-05-12;Humedad relativa;Noroeste;Casa de Campo;57
2021-05-13;Humedad relativa;Noroeste;Casa de Campo;57
2021-05-14;Humedad relativa;Noroeste;Casa de Campo;46
2021-05-15;Humedad relativa;Noroeste;Casa de Campo;56
2021-05-16;Humedad relativa;Noroeste;Casa de Campo;61
2021-05-17;Humedad relativa;Noroeste;Casa de Campo;42
2021-05-18;Humedad relativa;Noroeste;Casa de Campo;43
2021-05-19;Humedad relativa;Noroeste;Casa de Campo;41
2021-05-20;Humedad relativa;Noroeste;Casa de Campo;41
2021-05-21;Humedad relativa;Noroeste;Casa de Campo;44
2021-05-22;Humedad relativa;Noroeste;Casa de Campo;37
2021-05-23;Humedad relativa;Noroeste;Casa de Campo;49
2021-05-24;Humedad relativa;Noroeste;Casa de Campo;52
2021-05-25;Humedad relativa;Noroeste;Casa de Campo;45
2021-05-26;Humedad relativa;Noroeste;Casa de Campo;53
2021-05-27;Humedad relativa;Noroeste;Casa de Campo;48
2021-05-28;Humedad relativa;Noroeste;Casa de Campo;59
2021-05-29;Humedad relativa;Noroeste;Casa de Campo;50
2021-05-30;Humedad relativa;Noroeste;Casa de Campo;45
2021-05-31;Humedad relativa;Noroeste;Casa de Campo;50
