Fecha;Magnitud;Zona;Estación;Valor
2021-01-01;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-02;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-03;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-04;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-05;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-06;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-07;Precipitación;Noroeste;Casa de Campo;0,05
2021-01-08;Precipitación;Noroeste;Casa de Campo;0,12
2021-01-09;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-10;Precipitación;Noroeste;Casa de Campo;1,24
2021-01-11;Precipitación;Noroeste;Casa de Campo;0,07
2021-01-12;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-13;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-14;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-15;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-16;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-17;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-18;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-19;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-20;Precipitación;Noroeste;Casa de Campo;0,15
2021-01-21;Precipitación;Noroeste;Casa de Campo;0,10
2021-01-22;Precipitación;Noroeste;Casa de Campo;0,14
2021-01-23;Precipitación;Noroeste;Casa de Campo;0,05
2021-01-24;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-25;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-26;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-27;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-28;Precipitación;Noroeste;Casa de Campo;0,01
2021-01-29;Precipitación;Noroeste;Casa de Campo;0,00
2021-01-30;Precipitación;Noroeste;Casa de Campo;0,25
2021-01-31;Precipitación;Noroeste;Casa de Campo;0,00
