Fecha;Magnitud;Zona;Estación;Valor
2021-02-01;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-02;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-03;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-04;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-05;Precipitación;Noroeste;Casa de Campo;0,13
2021-02-06;Precipitación;Noroeste;Casa de Campo;0,05
2021-02-07;Precipitación;Noroeste;Casa de Campo;0,02
2021-02-08;Precipitación;Noroeste;Casa de Campo;0,34
2021-02-09;Precipitación;Noroeste;Casa de Campo;0,19
2021-02-10;Precipitación;Noroeste;Casa de Campo;
2021-02-11;Precipitación;Noroeste;Casa de Campo;0,09
2021-02-12;Precipitación;Noroeste;Casa de Campo;0,10
2021-02-13;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-14;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-15;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-16;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-17;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-18;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-19;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-20;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-21;Precipitación;Noroeste;Casa de Campo;0,21
2021-02-22;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-23;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-24;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-25;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-26;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-27;Precipitación;Noroeste;Casa de Campo;0,00
2021-02-28;Precipitación;Noroeste;Casa de Campo;0,00
