Fecha;Magnitud;Zona;Estación;Valor
2021-11-01;Precipitación;Noroeste;Casa de Campo;0,34
2021-11-02;Precipitación;Noroeste;Casa de Campo;0,40
2021-11-03;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-04;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-05;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-06;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-07;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-08;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-09;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-10;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-11;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-12;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-13;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-14;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-15;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-16;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-17;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-18;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-19;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-20;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-21;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-22;Precipitación;Noroeste;Casa de Campo;0,48
2021-11-23;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-24;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-25;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-26;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-27;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-28;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-29;Precipitación;Noroeste;Casa de Campo;0,00
2021-11-30;Precipitación;Noroeste;Casa de Campo;0,00
