Fecha;Magnitud;Zona;Estación;Valor
2021-09-01;Precipitación;Noroeste;Casa de Campo;0,65
2021-09-02;Precipitación;Noroeste;Casa de Campo;0,03
2021-09-03;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-04;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-05;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-06;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-07;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-08;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-09;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-10;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-11;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-12;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-13;Precipitación;Noroeste;Casa de Campo;0,01
2021-09-14;Precipitación;Noroeste;Casa de Campo;1,18
2021-09-15;Precipitación;Noroeste;Casa de Campo;0,01
2021-09-16;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-17;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-18;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-19;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-20;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-21;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-22;Precipitación;Noroeste;Casa de Campo;0,03
2021-09-23;Precipitación;Noroeste;Casa de Campo;0,18
2021-09-24;Precipitación;Noroeste;Casa de Campo;0,30
2021-09-25;Precipitación;Noroeste;Casa de Campo;0,04
2021-09-26;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-27;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-28;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-29;Precipitación;Noroeste;Casa de Campo;0,00
2021-09-30;Precipitación;Noroeste;Casa de Campo;0,00
