Fecha;Magnitud;Zona;Estación;Valor
2021-04-01;Radiación solar;Noroeste;Casa de Campo;203
2021-04-02;Radiación solar;Noroeste;Casa de Campo;121
2021-04-03;Radiación solar;Noroeste;Casa de Campo;192
2021-04-04;Radiación solar;Noroeste;Casa de Campo;269
2021-04-05;Radiación solar;Noroeste;Casa de Campo;271
2021-04-06;Radiación solar;Noroeste;Casa de Campo;279
2021-04-07;Radiación solar;Noroeste;Casa de Campo;270
2021-04-08;Radiación solar;Noroeste;Casa de Campo;153
2021-04-09;Radiación solar;Noroeste;Casa de Campo;94
2021-04-10;Radiación solar;Noroeste;Casa de Campo;207
2021-04-11;Radiación solar;Noroeste;Casa de Campo;178
2021-04-12;Radiación solar;Noroeste;Casa de Campo;279
2021-04-13;Radiación solar;Noroeste;Casa de Campo;95
2021-04-14;Radiación solar;Noroeste;Casa de Campo;212
2021-04-15;Radiación solar;Noroeste;Casa de Campo;121
2021-04-16;Radiación solar;Noroeste;Casa de Campo;236
2021-04-17;Radiación solar;Noroeste;Casa de Campo;302
2021-04-18;Radiación solar;Noroeste;Casa de Campo;295
2021-04-19;Radiación solar;Noroeste;Casa de Campo;246
2021-04-20;Radiación solar;Noroeste;Casa de Campo;189
2021-04-21;Radiación solar;Noroeste;Casa de Campo;224
2021-04-22;Radiación solar;Noroeste;Casa de Campo;150
2021-04-23;Radiación solar;Noroeste;Casa de Campo;163
2021-04-24;Radiación solar;Noroeste;Casa de Campo;139
2021-04-25;Radiación solar;Noroeste;Casa de Campo;41
2021-04-26;Radiación solar;Noroeste;Casa de Campo;178
2021-04-27;Radiación solar;Noroeste;Casa de Campo;182
2021-04-28;Radiación solar;Noroeste;Casa de Campo;214
2021-04-29;Radiación solar;Noroeste;Casa de Campo;248
2021-04-30;Radiación solar;Noroeste;Casa de Campo;254
