Fecha;Magnitud;Zona;Estación;Valor
2021-07-01;Radiación solar;Noroeste;Casa de Campo;524
2021-07-02;Radiación solar;Noroeste;Casa de Campo;362
2021-07-03;Radiación solar;Noroeste;Casa de Campo;340
2021-07-04;Radiación solar;Noroeste;Casa de Campo;356
2021-07-05;Radiación solar;Noroeste;Casa de Campo;357
2021-07-06;Radiación solar;Noroeste;Casa de Campo;64
2021-07-07;Radiación solar;Noroeste;Casa de Campo;359
2021-07-08;Radiación solar;Noroeste;Casa de Campo;355
2021-07-09;Radiación solar;Noroeste;Casa de Campo;346
2021-07-10;Radiación solar;Noroeste;Casa de Campo;399
2021-07-11;Radiación solar;Noroeste;Casa de Campo;
2021-07-12;Radiación solar;Noroeste;Casa de Campo;547
2021-07-13;Radiación solar;Noroeste;Casa de Campo;351
2021-07-14;Radiación solar;Noroeste;Casa de Campo;325
2021-07-15;Radiación solar;Noroeste;Casa de Campo;345
2021-07-16;Radiación solar;Noroeste;Casa de Campo;340
2021-07-17;Radiación solar;Noroeste;Casa de Campo;339
2021-07-18;Radiación solar;Noroeste;Casa de Campo;345
2021-07-19;Radiación solar;Noroeste;Casa de Campo;344
2021-07-20;Radiación solar;Noroeste;Casa de Campo;329
2021-07-21;Radiación solar;Noroeste;Casa de Campo;328
2021-07-22;Radiación solar;Noroeste;Casa de Campo;335
2021-07-23;Radiación solar;Noroeste;Casa de Campo;329
2021-07-24;Radiación solar;Noroeste;Casa de Campo;340
2021-07-25;Radiación solar;Noroeste;Casa de Campo;321
2021-07-26;Radiación solar;Noroeste;Casa de Campo;287
2021-07-27;Radiación solar;Noroeste;Casa de Campo;327
2021-07-28;Radiación solar;Noroeste;Casa de Campo;327
2021-07-29;Radiación solar;Noroeste;Casa de Campo;325
2021-07-30;Radiación solar;Noroeste;Casa de Campo;333
2021-07-31;Radiación solar;Noroeste;Casa de Campo;259
