Fecha;Magnitud;Zona;Estación;Valor
2021-03-01;Radiación solar;Noroeste;Casa de Campo;14
2021-03-02;Radiación solar;Noroeste;Casa de Campo;106
2021-03-03;Radiación solar;Noroeste;Casa de Campo;110
2021-03-04;Radiación solar;Noroeste;Casa de Campo;81
2021-03-05;Radiación solar;Noroeste;Casa de Campo;142
2021-03-06;Radiación solar;Noroeste;Casa de Campo;142
2021-03-07;Radiación solar;Noroeste;Casa de Campo;144
2021-03-08;Radiación solar;Noroeste;Casa de Campo;103
2021-03-09;Radiación solar;Noroeste;Casa de Campo;190
2021-03-10;Radiación solar;Noroeste;Casa de Campo;218
2021-03-11;Radiación solar;Noroeste;Casa de Campo;209
2021-03-12;Radiación solar;Noroeste;Casa de Campo;187
2021-03-13;Radiación solar;Noroeste;Casa de Campo;229
2021-03-14;Radiación solar;Noroeste;Casa de Campo;215
2021-03-15;Radiación solar;Noroeste;Casa de Campo;229
2021-03-16;Radiación solar;Noroeste;Casa de Campo;234
2021-03-17;Radiación solar;Noroeste;Casa de Campo;241
2021-03-18;Radiación solar;Noroeste;Casa de Campo;203
2021-03-19;Radiación solar;Noroeste;Casa de Campo;119
2021-03-20;Radiación solar;Noroeste;Casa de Campo;251
2021-03-21;Radiación solar;Noroeste;Casa de Campo;248
2021-03-22;Radiación solar;Noroeste;Casa de Campo;232
2021-03-23;Radiación solar;Noroeste;Casa de Campo;249
2021-03-24;Radiación solar;Noroeste;Casa de Campo;250
2021-03-25;Radiación solar;Noroeste;Casa de Campo;243
2021-03-26;Radiación solar;Noroeste;Casa de Campo;216
2021-03-27;Radiación solar;Noroeste;Casa de Campo;169
2021-03-28;Radiación solar;Noroeste;Casa de Campo;229
2021-03-29;Radiación solar;Noroeste;Casa de Campo;196
2021-03-30;Radiación solar;Noroeste;Casa de Campo;143
2021-03-31;Radiación solar;Noroeste;Casa de Campo;234
