Fecha;Magnitud;Zona;Estación;Valor
2021-10-01;Radiación solar;Noroeste;Casa de Campo;152
2021-10-02;Radiación solar;Noroeste;Casa de Campo;190
2021-10-03;Radiación solar;Noroeste;Casa de Campo;74
2021-10-04;Radiación solar;Noroeste;Casa de Campo;181
2021-10-05;Radiación solar;Noroeste;Casa de Campo;150
2021-10-06;Radiación solar;Noroeste;Casa de Campo;196
2021-10-07;Radiación solar;Noroeste;Casa de Campo;204
2021-10-08;Radiación solar;Noroeste;Casa de Campo;198
2021-10-09;Radiación solar;Noroeste;Casa de Campo;193
2021-10-10;Radiación solar;Noroeste;Casa de Campo;161
2021-10-11;Radiación solar;Noroeste;Casa de Campo;171
2021-10-12;Radiación solar;Noroeste;Casa de Campo;188
2021-10-13;Radiación solar;Noroeste;Casa de Campo;196
2021-10-14;Radiación solar;Noroeste;Casa de Campo;183
2021-10-15;Radiación solar;Noroeste;Casa de Campo;178
2021-10-16;Radiación solar;Noroeste;Casa de Campo;91
2021-10-17;Radiación solar;Noroeste;Casa de Campo;162
2021-10-18;Radiación solar;Noroeste;Casa de Campo;162
2021-10-19;Radiación solar;Noroeste;Casa de Campo;164
2021-10-20;Radiación solar;Noroeste;Casa de Campo;144
2021-10-21;Radiación solar;Noroeste;Casa de Campo;129
2021-10-22;Radiación solar;Noroeste;Casa de Campo;173
2021-10-23;Radiación solar;Noroeste;Casa de Campo;171
2021-10-24;Radiación solar;Noroeste;Casa de Campo;168
2021-10-25;Radiación solar;Noroeste;Casa de Campo;158
2021-10-26;Radiación solar;Noroeste;Casa de Campo;158
2021-10-27;Radiación solar;Noroeste;Casa de Campo;155
2021-10-28;Radiación solar;Noroeste;Casa de Campo;150
2021-10-29;Radiación solar;Noroeste;Casa de Campo;29
2021-10-30;Radiación solar;Noroeste;Casa de Campo;56
2021-10-31;Radiación solar;Noroeste;Casa de Campo;61
