Fecha;Magnitud;Zona;Estación;Valor
2021-09-01;Radiación solar;Noroeste;Casa de Campo;103
2021-09-02;Radiación solar;Noroeste;Casa de Campo;194
2021-09-03;Radiación solar;Noroeste;Casa de Campo;248
2021-09-04;Radiación solar;Noroeste;Casa de Campo;264
2021-09-05;Radiación solar;Noroeste;Casa de Campo;255
2021-09-06;Radiación solar;Noroeste;Casa de Campo;141
2021-09-07;Radiación solar;Noroeste;Casa de Campo;241
2021-09-08;Radiación solar;Noroeste;Casa de Campo;253
2021-09-09;Radiación solar;Noroeste;Casa de Campo;187
2021-09-10;Radiación solar;Noroeste;Casa de Campo;248
2021-09-11;Radiación solar;Noroeste;Casa de Campo;173
2021-09-12;Radiación solar;Noroeste;Casa de Campo;241
2021-09-13;Radiación solar;Noroeste;Casa de Campo;93
2021-09-14;Radiación solar;Noroeste;Casa de Campo;56
2021-09-15;Radiación solar;Noroeste;Casa de Campo;195
2021-09-16;Radiación solar;Noroeste;Casa de Campo;179
2021-09-17;Radiación solar;Noroeste;Casa de Campo;197
2021-09-18;Radiación solar;Noroeste;Casa de Campo;224
2021-09-19;Radiación solar;Noroeste;Casa de Campo;241
2021-09-20;Radiación solar;Noroeste;Casa de Campo;200
2021-09-21;Radiación solar;Noroeste;Casa de Campo;238
2021-09-22;Radiación solar;Noroeste;Casa de Campo;148
2021-09-23;Radiación solar;Noroeste;Casa de Campo;170
2021-09-24;Radiación solar;Noroeste;Casa de Campo;117
2021-09-25;Radiación solar;Noroeste;Casa de Campo;198
2021-09-26;Radiación solar;Noroeste;Casa de Campo;219
2021-09-27;Radiación solar;Noroeste;Casa de Campo;218
2021-09-28;Radiación solar;Noroeste;Casa de Campo;191
2021-09-29;Radiación solar;Noroeste;Casa de Campo;185
2021-09-30;Radiación solar;Noroeste;Casa de Campo;193
