Fecha;Magnitud;Zona;Estación;Valor
2021-04-01;Temperatura media;Noroeste;Casa de Campo;16,3
2021-04-02;Temperatura media;Noroeste;Casa de Campo;12,9
2021-04-03;Temperatura media;Noroeste;Casa de Campo;12,5
2021-04-04;Temperatura media;Noroeste;Casa de Campo;13,2
2021-04-05;Temperatura media;Noroeste;Casa de Campo;14,3
2021-04-06;Temperatura media;Noroeste;Casa de Campo;14,2
2021-04-07;Temperatura media;Noroeste;Casa de Campo;12,9
2021-04-08;Temperatura media;Noroeste;Casa de Campo;12,7
2021-04-09;Temperatura media;Noroeste;Casa de Campo;10,6
2021-04-10;Temperatura media;Noroeste;Casa de Campo;12,3
2021-04-11;Temperatura media;Noroeste;Casa de Campo;11,8
2021-04-12;Temperatura media;Noroeste;Casa de Campo;10,6
2021-04-13;Temperatura media;Noroeste;Casa de Campo;11,0
2021-04-14;Temperatura media;Noroeste;Casa de Campo;14,5
2021-04-15;Temperatura media;Noroeste;Casa de Campo;13,2
2021-04-16;Temperatura media;Noroeste;Casa de Campo;12,2
2021-04-17;Temperatura media;Noroeste;Casa de Campo;9,9
2021-04-18;Temperatura media;Noroeste;Casa de Campo;10,9
2021-04-19;Temperatura media;Noroeste;Casa de Campo;12,7
2021-04-20;Temperatura media;Noroeste;Casa de Campo;13,6
2021-04-21;Temperatura media;Noroeste;Casa de Campo;12,7
2021-04-22;Temperatura media;Noroeste;Casa de Campo;12,5
2021-04-23;Temperatura media;Noroeste;Casa de Campo;13,3
2021-04-24;Temperatura media;Noroeste;Casa de Campo;12,4
2021-04-25;Temperatura media;Noroeste;Casa de Campo;10,7
2021-04-26;Temperatura media;Noroeste;Casa de Campo;13,6
2021-04-27;Temperatura media;Noroeste;Casa de Campo;13,7
2021-04-28;Temperatura media;Noroeste;Casa de Campo;13,4
2021-04-29;Temperatura media;Noroeste;Casa de Campo;12,6
2021-04-30;Temperatura media;Noroeste;Casa de Campo;11,4
