Fecha;Magnitud;Zona;Estación;Valor
2021-12-01;Temperatura media;Noroeste;Casa de Campo;4,3
2021-12-02;Temperatura media;Noroeste;Casa de Campo;6,6
2021-12-03;Temperatura media;Noroeste;Casa de Campo;7,4
2021-12-04;Temperatura media;Noroeste;Casa de Campo;7,1
2021-12-05;Temperatura media;Noroeste;Casa de Campo;8,3
2021-12-06;Temperatura media;Noroeste;Casa de Campo;9,2
2021-12-07;Temperatura media;Noroeste;Casa de Campo;6,8
2021-12-08;Temperatura media;Noroeste;Casa de Campo;7,0
2021-12-09;Temperatura media;Noroeste;Casa de Campo;8,5
2021-12-10;Temperatura media;Noroeste;Casa de Campo;10,9
2021-12-11;Temperatura media;Noroeste;Casa de Campo;11,6
2021-12-12;Temperatura media;Noroeste;Casa de Campo;7,2
2021-12-13;Temperatura media;Noroeste;Casa de Campo;6,3
2021-12-14;Temperatura media;Noroeste;Casa de Campo;7,2
2021-12-15;Temperatura media;Noroeste;Casa de Campo;7,4
2021-12-16;Temperatura media;Noroeste;Casa de Campo;5,3
2021-12-17;Temperatura media;Noroeste;Casa de Campo;4,4
2021-12-18;Temperatura media;Noroeste;Casa de Campo;5,5
2021-12-19;Temperatura media;Noroeste;Casa de Campo;8,4
2021-12-20;Temperatura media;Noroeste;Casa de Campo;5,1
2021-12-21;Temperatura media;Noroeste;Casa de Campo;8,7
2021-12-22;Temperatura media;Noroeste;Casa de Campo;9,9
2021-12-23;Temperatura media;Noroeste;Casa de Campo;8,3
2021-12-24;Temperatura media;Noroeste;Casa de Campo;10,3
2021-12-25;Temperatura media;Noroeste;Casa de Campo;8,9
2021-12-26;Temperatura media;Noroeste;Casa de Campo;9,1
2021-12-27;Temperatura media;Noroeste;Casa de Campo;11,7
2021-12-28;Temperatura media;Noroeste;Casa de Campo;10,5
2021-12-29;Temperatura media;Noroeste;Casa de Campo;8,7
2021-12-30;Temperatura media;Noroeste;Casa de Campo;8,1
2021-12-31;Temperatura media;Noroeste;Casa de Campo;8,3
