Fecha;Magnitud;Zona;Estación;Valor
2021-01-01;Temperatura media;Noroeste;Casa de Campo;3,6
2021-01-02;Temperatura media;Noroeste;Casa de Campo;1,7
2021-01-03;Temperatura media;Noroeste;Casa de Campo;1,5
2021-01-04;Temperatura media;Noroeste;Casa de Campo;2,5
2021-01-05;Temperatura media;Noroeste;Casa de Campo;0,1
2021-01-06;Temperatura media;Noroeste;Casa de Campo;-0,3
2021-01-07;Temperatura media;Noroeste;Casa de Campo;0,3
2021-01-08;Temperatura media;Noroeste;Casa de Campo;-0,7
2021-01-09;Temperatura media;Noroeste;Casa de Campo;-1,2
2021-01-10;Temperatura media;Noroeste;Casa de Campo;2,3
2021-01-11;Temperatura media;Noroeste;Casa de Campo;-1,1
2021-01-12;Temperatura media;Noroeste;Casa de Campo;-4,7
2021-01-13;Temperatura media;Noroeste;Casa de Campo;-3,3
2021-01-14;Temperatura media;Noroeste;Casa de Campo;-1,4
2021-01-15;Temperatura media;Noroeste;Casa de Campo;-0,2
2021-01-16;Temperatura media;Noroeste;Casa de Campo;0,5
2021-01-17;Temperatura media;Noroeste;Casa de Campo;0,3
2021-01-18;Temperatura media;Noroeste;Casa de Campo;2,0
2021-01-19;Temperatura media;Noroeste;Casa de Campo;1,3
2021-01-20;Temperatura media;Noroeste;Casa de Campo;2,5
2021-01-21;Temperatura media;Noroeste;Casa de Campo;7,9
2021-01-22;Temperatura media;Noroeste;Casa de Campo;7,8
2021-01-23;Temperatura media;Noroeste;Casa de Campo;6,0
2021-01-24;Temperatura media;Noroeste;Casa de Campo;9,7
2021-01-25;Temperatura media;Noroeste;Casa de Campo;10,3
2021-01-26;Temperatura media;Noroeste;Casa de Campo;11,9
2021-01-27;Temperatura media;Noroeste;Casa de Campo;13,8
2021-01-28;Temperatura media;Noroeste;Casa de Campo;10,6
2021-01-29;Temperatura media;Noroeste;Casa de Campo;9,3
2021-01-30;Temperatura media;Noroeste;Casa de Campo;9,9
2021-01-31;Temperatura media;Noroeste;Casa de Campo;10,0
