Fecha;Magnitud;Zona;Estación;Valor
2021-02-01;Temperatura media;Noroeste;Casa de Campo;11,3
2021-02-02;Temperatura media;Noroeste;Casa de Campo;9,8
2021-02-03;Temperatura media;Noroeste;Casa de Campo;10,0
2021-02-04;Temperatura media;Noroeste;Casa de Campo;10,7
2021-02-05;Temperatura media;Noroeste;Casa de Campo;11,7
2021-02-06;Temperatura media;Noroeste;Casa de Campo;8,7
2021-02-07;Temperatura media;Noroeste;Casa de Campo;6,9
2021-02-08;Temperatura media;Noroeste;Casa de Campo;7,1
2021-02-09;Temperatura media;Noroeste;Casa de Campo;5,7
2021-02-10;Temperatura media;Noroeste;Casa de Campo;
2021-02-11;Temperatura media;Noroeste;Casa de Campo;11,4
2021-02-12;Temperatura media;Noroeste;Casa de Campo;10,9
2021-02-13;Temperatura media;Noroeste;Casa de Campo;10,2
2021-02-14;Temperatura media;Noroeste;Casa de Campo;8,7
2021-02-15;Temperatura media;Noroeste;Casa de Campo;9,9
2021-02-16;Temperatura media;Noroeste;Casa de Campo;8,6
2021-02-17;Temperatura media;Noroeste;Casa de Campo;10,1
2021-02-18;Temperatura media;Noroeste;Casa de Campo;9,0
2021-02-19;Temperatura media;Noroeste;Casa de Campo;9,3
2021-02-20;Temperatura media;Noroeste;Casa de Campo;10,3
2021-02-21;Temperatura media;Noroeste;Casa de Campo;9,2
2021-02-22;Temperatura media;Noroeste;Casa de Campo;7,8
2021-02-23;Temperatura media;Noroeste;Casa de Campo;7,1
2021-02-24;Temperatura media;Noroeste;Casa de Campo;8,7
2021-02-25;Temperatura media;Noroeste;Casa de Campo;10,1
2021-02-26;Temperatura media;Noroeste;Casa de Campo;10,7
2021-02-27;Temperatura media;Noroeste;Casa de Campo;11,7
2021-02-28;Temperatura media;Noroeste;Casa de Campo;9,1
