Fecha;Magnitud;Zona;Estación;Valor
2021-09-01;Temperatura media;Noroeste;Casa de Campo;19,4
2021-09-02;Temperatura media;Noroeste;Casa de Campo;19,0
2021-09-03;Temperatura media;Noroeste;Casa de Campo;21,5
2021-09-04;Temperatura media;Noroeste;Casa de Campo;23,0
2021-09-05;Temperatura media;Noroeste;Casa de Campo;24,3
2021-09-06;Temperatura media;Noroeste;Casa de Campo;25,4
2021-09-07;Temperatura media;Noroeste;Casa de Campo;25,8
2021-09-08;Temperatura media;Noroeste;Casa de Campo;22,1
2021-09-09;Temperatura media;Noroeste;Casa de Campo;21,9
2021-09-10;Temperatura media;Noroeste;Casa de Campo;22,4
2021-09-11;Temperatura media;Noroeste;Casa de Campo;20,7
2021-09-12;Temperatura media;Noroeste;Casa de Campo;22,6
2021-09-13;Temperatura media;Noroeste;Casa de Campo;20,4
2021-09-14;Temperatura media;Noroeste;Casa de Campo;17,6
2021-09-15;Temperatura media;Noroeste;Casa de Campo;18,5
2021-09-16;Temperatura media;Noroeste;Casa de Campo;20,2
2021-09-17;Temperatura media;Noroeste;Casa de Campo;20,3
2021-09-18;Temperatura media;Noroeste;Casa de Campo;19,8
2021-09-19;Temperatura media;Noroeste;Casa de Campo;17,6
2021-09-20;Temperatura media;Noroeste;Casa de Campo;17,3
2021-09-21;Temperatura media;Noroeste;Casa de Campo;16,2
2021-09-22;Temperatura media;Noroeste;Casa de Campo;16,6
2021-09-23;Temperatura media;Noroeste;Casa de Campo;19,0
2021-09-24;Temperatura media;Noroeste;Casa de Campo;18,5
2021-09-25;Temperatura media;Noroeste;Casa de Campo;17,5
2021-09-26;Temperatura media;Noroeste;Casa de Campo;17,7
2021-09-27;Temperatura media;Noroeste;Casa de Campo;18,5
2021-09-28;Temperatura media;Noroeste;Casa de Campo;18,2
2021-09-29;Temperatura media;Noroeste;Casa de Campo;19,9
2021-09-30;Temperatura media;Noroeste;Casa de Campo;19,2
