Fecha;Magnitud;Zona;Estación;Valor
2021-05-01;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-05-02;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-05-03;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-05-04;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-05-05;Velocidad del viento;Noroeste;Casa de Campo;1,5
2021-05-06;Velocidad del viento;Noroeste;Casa de Campo;1,9
2021-05-07;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-05-08;Velocidad del viento;Noroeste;Casa de Campo;2,4
2021-05-09;Velocidad del viento;Noroeste;Casa de Campo;3,2
2021-05-10;Velocidad del viento;Noroeste;Casa de Campo;3,2
2021-05-11;Velocidad del viento;Noroeste;Casa de Campo;2,8
2021-05-12;Velocidad del viento;Noroeste;Casa de Campo;3,5
2021-05-13;Velocidad del viento;Noroeste;Casa de Campo;3,1
2021-05-14;Velocidad del viento;Noroeste;Casa de Campo;2,0
2021-05-15;Velocidad del viento;Noroeste;Casa de Campo;2,2
2021-05-16;Velocidad del viento;Noroeste;Casa de Campo;2,6
2021-05-17;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-05-18;Velocidad del viento;Noroeste;Casa de Campo;2,0
2021-05-19;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-05-20;Velocidad del viento;Noroeste;Casa de Campo;1,4
2021-05-21;Velocidad del viento;Noroeste;Casa de Campo;1,9
2021-05-22;Velocidad del viento;Noroeste;Casa de Campo;2,0
2021-05-23;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-05-24;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-05-25;Velocidad del viento;Noroeste;Casa de Campo;1,5
2021-05-26;Velocidad del viento;Noroeste;Casa de Campo;2,0
2021-05-27;Velocidad del viento;Noroeste;Casa de Campo;1,4
2021-05-28;Velocidad del viento;Noroeste;Casa de Campo;1,5
2021-05-29;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-05-30;Velocidad del viento;Noroeste;Casa de Campo;2,1
2021-05-31;Velocidad del viento;Noroeste;Casa de Campo;2,1
