Fecha;Magnitud;Zona;Estación;Valor
2021-12-01;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-12-02;Velocidad del viento;Noroeste;Casa de Campo;1,9
2021-12-03;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-12-04;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-12-05;Velocidad del viento;Noroeste;Casa de Campo;2,6
2021-12-06;Velocidad del viento;Noroeste;Casa de Campo;2,1
2021-12-07;Velocidad del viento;Noroeste;Casa de Campo;2,4
2021-12-08;Velocidad del viento;Noroeste;Casa de Campo;3,1
2021-12-09;Velocidad del viento;Noroeste;Casa de Campo;3,1
2021-12-10;Velocidad del viento;Noroeste;Casa de Campo;3,6
2021-12-11;Velocidad del viento;Noroeste;Casa de Campo;1,5
2021-12-12;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-12-13;Velocidad del viento;Noroeste;Casa de Campo;0,6
2021-12-14;Velocidad del viento;Noroeste;Casa de Campo;0,6
2021-12-15;Velocidad del viento;Noroeste;Casa de Campo;0,6
2021-12-16;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-12-17;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-12-18;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-12-19;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-12-20;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-12-21;Velocidad del viento;Noroeste;Casa de Campo;0,6
2021-12-22;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-12-23;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-12-24;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-12-25;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-12-26;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-12-27;Velocidad del viento;Noroeste;Casa de Campo;3,9
2021-12-28;Velocidad del viento;Noroeste;Casa de Campo;2,5
2021-12-29;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-12-30;Velocidad del viento;Noroeste;Casa de Campo;0,6
2021-12-31;Velocidad del viento;Noroeste;Casa de Campo;0,7
