Fecha;Magnitud;Zona;Estación;Valor
2021-11-01;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-11-02;Velocidad del viento;Noroeste;Casa de Campo;2,6
2021-11-03;Velocidad del viento;Noroeste;Casa de Campo;2,2
2021-11-04;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-11-05;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-11-06;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-11-07;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-11-08;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-11-09;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-11-10;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-11-11;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-11-12;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-11-13;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-11-14;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-11-15;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-11-16;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-11-17;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-11-18;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-11-19;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-11-20;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-11-21;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-11-22;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-11-23;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-11-24;Velocidad del viento;Noroeste;Casa de Campo;1,4
2021-11-25;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-11-26;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-11-27;Velocidad del viento;Noroeste;Casa de Campo;2,3
2021-11-28;Velocidad del viento;Noroeste;Casa de Campo;3,6
2021-11-29;Velocidad del viento;Noroeste;Casa de Campo;2,9
2021-11-30;Velocidad del viento;Noroeste;Casa de Campo;0,9
