Fecha;Magnitud;Zona;Estación;Valor
2021-10-01;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-10-02;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-10-03;Velocidad del viento;Noroeste;Casa de Campo;2,5
2021-10-04;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-10-05;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-10-06;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-10-07;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-10-08;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-10-09;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-10-10;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-10-11;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-10-12;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-10-13;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-10-14;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-10-15;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-10-16;Velocidad del viento;Noroeste;Casa de Campo;0,7
2021-10-17;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-10-18;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-10-19;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-10-20;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-10-21;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-10-22;Velocidad del viento;Noroeste;Casa de Campo;2,4
2021-10-23;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-10-24;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-10-25;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-10-26;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-10-27;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-10-28;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-10-29;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-10-30;Velocidad del viento;Noroeste;Casa de Campo;2,8
2021-10-31;Velocidad del viento;Noroeste;Casa de Campo;2,9
