Fecha;Magnitud;Zona;Estación;Valor
2021-06-01;Velocidad del viento;Noroeste;Casa de Campo;2,2
2021-06-02;Velocidad del viento;Noroeste;Casa de Campo;1,5
2021-06-03;Velocidad del viento;Noroeste;Casa de Campo;2,2
2021-06-04;Velocidad del viento;Noroeste;Casa de Campo;1,9
2021-06-05;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-06-06;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-06-07;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-06-08;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-06-09;Velocidad del viento;Noroeste;Casa de Campo;2,0
2021-06-10;Velocidad del viento;Noroeste;Casa de Campo;1,9
2021-06-11;Velocidad del viento;Noroeste;Casa de Campo;1,9
2021-06-12;Velocidad del viento;Noroeste;Casa de Campo;2,8
2021-06-13;Velocidad del viento;Noroeste;Casa de Campo;2,7
2021-06-14;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-06-15;Velocidad del viento;Noroeste;Casa de Campo;2,5
2021-06-16;Velocidad del viento;Noroeste;Casa de Campo;2,5
2021-06-17;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-06-18;Velocidad del viento;Noroeste;Casa de Campo;2,3
2021-06-19;Velocidad del viento;Noroeste;Casa de Campo;1,7
2021-06-20;Velocidad del viento;Noroeste;Casa de Campo;3,7
2021-06-21;Velocidad del viento;Noroeste;Casa de Campo;3,5
2021-06-22;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-06-23;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-06-24;Velocidad del viento;Noroeste;Casa de Campo;
2021-06-25;Velocidad del viento;Noroeste;Casa de Campo;
2021-06-26;Velocidad del viento;Noroeste;Casa de Campo;
2021-06-27;Velocidad del viento;Noroeste;Casa de Campo;
2021-06-28;Velocidad del viento;Noroeste;Casa de Campo;
2021-06-29;Velocidad del viento;Noroeste;Casa de Campo;
2021-06-30;Velocidad del viento;Noroeste;Casa de Campo;
