Fecha;Magnitud;Zona;Estación;Valor
2022-01-01;Humedad relativa;Noroeste;Casa de Campo;73
2022-01-02;Humedad relativa;Noroeste;Casa de Campo;77
2022-01-03;Humedad relativa;Noroeste;Casa de Campo;84
2022-01-04;Humedad relativa;Noroeste;Casa de Campo;90
2022-01-05;Humedad relativa;Noroeste;Casa de Campo;76
2022-01-06;Humedad relativa;Noroeste;Casa de Campo;82
2022-01-07;Humedad relativa;Noroeste;Casa de Campo;74
2022-01-08;Humedad relativa;Noroeste;Casa de Campo;84
2022-01-09;Humedad relativa;Noroeste;Casa de Campo;72
2022-01-10;Humedad relativa;Noroeste;Casa de Campo;68
2022-01-11;Humedad relativa;Noroeste;Casa de Campo;73
2022-01-12;Humedad relativa;Noroeste;Casa de Campo;64
2022-01-13;Humedad relativa;Noroeste;Casa de Campo;69
2022-01-14;Humedad relativa;Noroeste;Casa de Campo;73
2022-01-15;Humedad relativa;Noroeste;Casa de Campo;72
2022-01-16;Humedad relativa;Noroeste;Casa de Campo;78
2022-01-17;Humedad relativa;Noroeste;Casa de Campo;74
2022-01-18;Humedad relativa;Noroeste;Casa de Campo;65
2022-01-19;Humedad relativa;Noroeste;Casa de Campo;60
2022-01-20;Humedad relativa;Noroeste;Casa de Campo;66
2022-01-21;Humedad relativa;Noroeste;Casa de Campo;69
2022-01-22;Humedad relativa;Noroeste;Casa de Campo;65
2022-01-23;Humedad relativa;Noroeste;Casa de Campo;80
2022-01-24;Humedad relativa;Noroeste;Casa de Campo;74
2022-01-25;Humedad relativa;Noroeste;Casa de Campo;68
2022-01-26;Humedad relativa;Noroeste;Casa de Campo;75
2022-01-27;Humedad relativa;Noroeste;Casa de Campo;66
2022-01-28;Humedad relativa;Noroeste;Casa de Campo;53
2022-01-29;Humedad relativa;Noroeste;Casa de Campo;49
2022-01-30;Humedad relativa;Noroeste;Casa de Campo;50
2022-01-31;Humedad relativa;Noroeste;Casa de Campo;51
