Fecha;Magnitud;Zona;Estación;Valor
2022-06-01;Humedad relativa;Noroeste;Casa de Campo;37
2022-06-02;Humedad relativa;Noroeste;Casa de Campo;48
2022-06-03;Humedad relativa;Noroeste;Casa de Campo;44
2022-06-04;Humedad relativa;Noroeste;Casa de Campo;44
2022-06-05;Humedad relativa;Noroeste;Casa de Campo;41
2022-06-06;Humedad relativa;Noroeste;Casa de Campo;37
2022-06-07;Humedad relativa;Noroeste;Casa de Campo;38
2022-06-08;Humedad relativa;Noroeste;Casa de Campo;43
2022-06-09;Humedad relativa;Noroeste;Casa de Campo;43
2022-06-10;Humedad relativa;Noroeste;Casa de Campo;29
2022-06-11;Humedad relativa;Noroeste;Casa de Campo;32
2022-06-12;Humedad relativa;Noroeste;Casa de Campo;26
2022-06-13;Humedad relativa;Noroeste;Casa de Campo;23
2022-06-14;Humedad relativa;Noroeste;Casa de Campo;25
2022-06-15;Humedad relativa;Noroeste;Casa de Campo;26
2022-06-16;Humedad relativa;Noroeste;Casa de Campo;28
2022-06-17;Humedad relativa;Noroeste;Casa de Campo;31
2022-06-18;Humedad relativa;Noroeste;Casa de Campo;24
2022-06-19;Humedad relativa;Noroeste;Casa de Campo;42
2022-06-20;Humedad relativa;Noroeste;Casa de Campo;44
2022-06-21;Humedad relativa;Noroeste;Casa de Campo;37
2022-06-22;Humedad relativa;Noroeste;Casa de Campo;47
2022-06-23;Humedad relativa;Noroeste;Casa de Campo;57
2022-06-24;Humedad relativa;Noroeste;Casa de Campo;50
2022-06-25;Humedad relativa;Noroeste;Casa de Campo;44
2022-06-26;Humedad relativa;Noroeste;Casa de Campo;30
2022-06-27;Humedad relativa;Noroeste;Casa de Campo;34
2022-06-28;Humedad relativa;Noroeste;Casa de Campo;36
2022-06-29;Humedad relativa;Noroeste;Casa de Campo;28
2022-06-30;Humedad relativa;Noroeste;Casa de Campo;32
