Fecha;Magnitud;Zona;Estación;Valor
2022-03-01;Humedad relativa;Noroeste;Casa de Campo;70
2022-03-02;Humedad relativa;Noroeste;Casa de Campo;64
2022-03-03;Humedad relativa;Noroeste;Casa de Campo;83
2022-03-04;Humedad relativa;Noroeste;Casa de Campo;62
2022-03-05;Humedad relativa;Noroeste;Casa de Campo;61
2022-03-06;Humedad relativa;Noroeste;Casa de Campo;63
2022-03-07;Humedad relativa;Noroeste;Casa de Campo;88
2022-03-08;Humedad relativa;Noroeste;Casa de Campo;75
2022-03-09;Humedad relativa;Noroeste;Casa de Campo;77
2022-03-10;Humedad relativa;Noroeste;Casa de Campo;72
2022-03-11;Humedad relativa;Noroeste;Casa de Campo;85
2022-03-12;Humedad relativa;Noroeste;Casa de Campo;75
2022-03-13;Humedad relativa;Noroeste;Casa de Campo;67
2022-03-14;Humedad relativa;Noroeste;Casa de Campo;81
2022-03-15;Humedad relativa;Noroeste;Casa de Campo;61
2022-03-16;Humedad relativa;Noroeste;Casa de Campo;62
2022-03-17;Humedad relativa;Noroeste;Casa de Campo;66
2022-03-18;Humedad relativa;Noroeste;Casa de Campo;65
2022-03-19;Humedad relativa;Noroeste;Casa de Campo;70
2022-03-20;Humedad relativa;Noroeste;Casa de Campo;69
2022-03-21;Humedad relativa;Noroeste;Casa de Campo;87
2022-03-22;Humedad relativa;Noroeste;Casa de Campo;84
2022-03-23;Humedad relativa;Noroeste;Casa de Campo;77
2022-03-24;Humedad relativa;Noroeste;Casa de Campo;84
2022-03-25;Humedad relativa;Noroeste;Casa de Campo;88
2022-03-26;Humedad relativa;Noroeste;Casa de Campo;79
2022-03-27;Humedad relativa;Noroeste;Casa de Campo;73
2022-03-28;Humedad relativa;Noroeste;Casa de Campo;71
2022-03-29;Humedad relativa;Noroeste;Casa de Campo;74
2022-03-30;Humedad relativa;Noroeste;Casa de Campo;89
2022-03-31;Humedad relativa;Noroeste;Casa de Campo;68
