Fecha;Magnitud;Zona;Estación;Valor
2022-11-01;Humedad relativa;Noroeste;Casa de Campo;75
2022-11-02;Humedad relativa;Noroeste;Casa de Campo;72
2022-11-03;Humedad relativa;Noroeste;Casa de Campo;80
2022-11-04;Humedad relativa;Noroeste;Casa de Campo;62
2022-11-05;Humedad relativa;Noroeste;Casa de Campo;67
2022-11-06;Humedad relativa;Noroeste;Casa de Campo;68
2022-11-07;Humedad relativa;Noroeste;Casa de Campo;71
2022-11-08;Humedad relativa;Noroeste;Casa de Campo;77
2022-11-09;Humedad relativa;Noroeste;Casa de Campo;92
2022-11-10;Humedad relativa;Noroeste;Casa de Campo;78
2022-11-11;Humedad relativa;Noroeste;Casa de Campo;78
2022-11-12;Humedad relativa;Noroeste;Casa de Campo;78
2022-11-13;Humedad relativa;Noroeste;Casa de Campo;78
2022-11-14;Humedad relativa;Noroeste;Casa de Campo;93
2022-11-15;Humedad relativa;Noroeste;Casa de Campo;91
2022-11-16;Humedad relativa;Noroeste;Casa de Campo;96
2022-11-17;Humedad relativa;Noroeste;Casa de Campo;91
2022-11-18;Humedad relativa;Noroeste;Casa de Campo;76
2022-11-19;Humedad relativa;Noroeste;Casa de Campo;62
2022-11-20;Humedad relativa;Noroeste;Casa de Campo;76
2022-11-21;Humedad relativa;Noroeste;Casa de Campo;86
2022-11-22;Humedad relativa;Noroeste;Casa de Campo;81
2022-11-23;Humedad relativa;Noroeste;Casa de Campo;93
2022-11-24;Humedad relativa;Noroeste;Casa de Campo;95
2022-11-25;Humedad relativa;Noroeste;Casa de Campo;74
2022-11-26;Humedad relativa;Noroeste;Casa de Campo;79
2022-11-27;Humedad relativa;Noroeste;Casa de Campo;78
2022-11-28;Humedad relativa;Noroeste;Casa de Campo;66
2022-11-29;Humedad relativa;Noroeste;Casa de Campo;71
2022-11-30;Humedad relativa;Noroeste;Casa de Campo;76
