Fecha;Magnitud;Zona;Estación;Valor
2022-07-01;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-02;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-03;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-04;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-05;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-06;Precipitación;Noroeste;Casa de Campo;0,50
2022-07-07;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-08;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-09;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-10;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-11;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-12;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-13;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-14;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-15;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-16;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-17;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-18;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-19;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-20;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-21;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-22;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-23;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-24;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-25;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-26;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-27;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-28;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-29;Precipitación;Noroeste;Casa de Campo;0,00
2022-07-30;Precipitación;Noroeste;Casa de Campo;0,13
2022-07-31;Precipitación;Noroeste;Casa de Campo;0,00
