Fecha;Magnitud;Zona;Estación;Valor
2022-12-01;Radiación solar;Noroeste;Casa de Campo;110
2022-12-02;Radiación solar;Noroeste;Casa de Campo;77
2022-12-03;Radiación solar;Noroeste;Casa de Campo;64
2022-12-04;Radiación solar;Noroeste;Casa de Campo;41
2022-12-05;Radiación solar;Noroeste;Casa de Campo;15
2022-12-06;Radiación solar;Noroeste;Casa de Campo;26
2022-12-07;Radiación solar;Noroeste;Casa de Campo;44
2022-12-08;Radiación solar;Noroeste;Casa de Campo;20
2022-12-09;Radiación solar;Noroeste;Casa de Campo;25
2022-12-10;Radiación solar;Noroeste;Casa de Campo;90
2022-12-11;Radiación solar;Noroeste;Casa de Campo;29
2022-12-12;Radiación solar;Noroeste;Casa de Campo;21
2022-12-13;Radiación solar;Noroeste;Casa de Campo;21
2022-12-14;Radiación solar;Noroeste;Casa de Campo;45
2022-12-15;Radiación solar;Noroeste;Casa de Campo;54
2022-12-16;Radiación solar;Noroeste;Casa de Campo;53
2022-12-17;Radiación solar;Noroeste;Casa de Campo;49
2022-12-18;Radiación solar;Noroeste;Casa de Campo;45
2022-12-19;Radiación solar;Noroeste;Casa de Campo;52
2022-12-20;Radiación solar;Noroeste;Casa de Campo;23
2022-12-21;Radiación solar;Noroeste;Casa de Campo;67
2022-12-22;Radiación solar;Noroeste;Casa de Campo;75
2022-12-23;Radiación solar;Noroeste;Casa de Campo;33
2022-12-24;Radiación solar;Noroeste;Casa de Campo;37
2022-12-25;Radiación solar;Noroeste;Casa de Campo;90
2022-12-26;Radiación solar;Noroeste;Casa de Campo;95
2022-12-27;Radiación solar;Noroeste;Casa de Campo;92
2022-12-28;Radiación solar;Noroeste;Casa de Campo;93
2022-12-29;Radiación solar;Noroeste;Casa de Campo;57
2022-12-30;Radiación solar;Noroeste;Casa de Campo;64
2022-12-31;Radiación solar;Noroeste;Casa de Campo;94
