Fecha;Magnitud;Zona;Estación;Valor
2022-02-01;Radiación solar;Noroeste;Casa de Campo;137
2022-02-02;Radiación solar;Noroeste;Casa de Campo;141
2022-02-03;Radiación solar;Noroeste;Casa de Campo;122
2022-02-04;Radiación solar;Noroeste;Casa de Campo;89
2022-02-05;Radiación solar;Noroeste;Casa de Campo;137
2022-02-06;Radiación solar;Noroeste;Casa de Campo;144
2022-02-07;Radiación solar;Noroeste;Casa de Campo;147
2022-02-08;Radiación solar;Noroeste;Casa de Campo;149
2022-02-09;Radiación solar;Noroeste;Casa de Campo;150
2022-02-10;Radiación solar;Noroeste;Casa de Campo;136
2022-02-11;Radiación solar;Noroeste;Casa de Campo;138
2022-02-12;Radiación solar;Noroeste;Casa de Campo;127
2022-02-13;Radiación solar;Noroeste;Casa de Campo;111
2022-02-14;Radiación solar;Noroeste;Casa de Campo;151
2022-02-15;Radiación solar;Noroeste;Casa de Campo;161
2022-02-16;Radiación solar;Noroeste;Casa de Campo;152
2022-02-17;Radiación solar;Noroeste;Casa de Campo;167
2022-02-18;Radiación solar;Noroeste;Casa de Campo;163
2022-02-19;Radiación solar;Noroeste;Casa de Campo;96
2022-02-20;Radiación solar;Noroeste;Casa de Campo;175
2022-02-21;Radiación solar;Noroeste;Casa de Campo;177
2022-02-22;Radiación solar;Noroeste;Casa de Campo;184
2022-02-23;Radiación solar;Noroeste;Casa de Campo;147
2022-02-24;Radiación solar;Noroeste;Casa de Campo;122
2022-02-25;Radiación solar;Noroeste;Casa de Campo;29
2022-02-26;Radiación solar;Noroeste;Casa de Campo;17
2022-02-27;Radiación solar;Noroeste;Casa de Campo;134
2022-02-28;Radiación solar;Noroeste;Casa de Campo;191
