Fecha;Magnitud;Zona;Estación;Valor
2022-07-01;Radiación solar;Noroeste;Casa de Campo;352
2022-07-02;Radiación solar;Noroeste;Casa de Campo;343
2022-07-03;Radiación solar;Noroeste;Casa de Campo;330
2022-07-04;Radiación solar;Noroeste;Casa de Campo;353
2022-07-05;Radiación solar;Noroeste;Casa de Campo;356
2022-07-06;Radiación solar;Noroeste;Casa de Campo;276
2022-07-07;Radiación solar;Noroeste;Casa de Campo;357
2022-07-08;Radiación solar;Noroeste;Casa de Campo;356
2022-07-09;Radiación solar;Noroeste;Casa de Campo;348
2022-07-10;Radiación solar;Noroeste;Casa de Campo;347
2022-07-11;Radiación solar;Noroeste;Casa de Campo;278
2022-07-12;Radiación solar;Noroeste;Casa de Campo;330
2022-07-13;Radiación solar;Noroeste;Casa de Campo;305
2022-07-14;Radiación solar;Noroeste;Casa de Campo;321
2022-07-15;Radiación solar;Noroeste;Casa de Campo;337
2022-07-16;Radiación solar;Noroeste;Casa de Campo;333
2022-07-17;Radiación solar;Noroeste;Casa de Campo;333
2022-07-18;Radiación solar;Noroeste;Casa de Campo;333
2022-07-19;Radiación solar;Noroeste;Casa de Campo;352
2022-07-20;Radiación solar;Noroeste;Casa de Campo;343
2022-07-21;Radiación solar;Noroeste;Casa de Campo;335
2022-07-22;Radiación solar;Noroeste;Casa de Campo;317
2022-07-23;Radiación solar;Noroeste;Casa de Campo;350
2022-07-24;Radiación solar;Noroeste;Casa de Campo;331
2022-07-25;Radiación solar;Noroeste;Casa de Campo;339
2022-07-26;Radiación solar;Noroeste;Casa de Campo;324
2022-07-27;Radiación solar;Noroeste;Casa de Campo;323
2022-07-28;Radiación solar;Noroeste;Casa de Campo;334
2022-07-29;Radiación solar;Noroeste;Casa de Campo;335
2022-07-30;Radiación solar;Noroeste;Casa de Campo;287
2022-07-31;Radiación solar;Noroeste;Casa de Campo;317
