Fecha;Magnitud;Zona;Estación;Valor
2022-01-01;Radiación solar;Noroeste;Casa de Campo;97
2022-01-02;Radiación solar;Noroeste;Casa de Campo;89
2022-01-03;Radiación solar;Noroeste;Casa de Campo;91
2022-01-04;Radiación solar;Noroeste;Casa de Campo;30
2022-01-05;Radiación solar;Noroeste;Casa de Campo;80
2022-01-06;Radiación solar;Noroeste;Casa de Campo;111
2022-01-07;Radiación solar;Noroeste;Casa de Campo;105
2022-01-08;Radiación solar;Noroeste;Casa de Campo;77
2022-01-09;Radiación solar;Noroeste;Casa de Campo;98
2022-01-10;Radiación solar;Noroeste;Casa de Campo;123
2022-01-11;Radiación solar;Noroeste;Casa de Campo;104
2022-01-12;Radiación solar;Noroeste;Casa de Campo;112
2022-01-13;Radiación solar;Noroeste;Casa de Campo;92
2022-01-14;Radiación solar;Noroeste;Casa de Campo;99
2022-01-15;Radiación solar;Noroeste;Casa de Campo;110
2022-01-16;Radiación solar;Noroeste;Casa de Campo;116
2022-01-17;Radiación solar;Noroeste;Casa de Campo;110
2022-01-18;Radiación solar;Noroeste;Casa de Campo;119
2022-01-19;Radiación solar;Noroeste;Casa de Campo;103
2022-01-20;Radiación solar;Noroeste;Casa de Campo;92
2022-01-21;Radiación solar;Noroeste;Casa de Campo;120
2022-01-22;Radiación solar;Noroeste;Casa de Campo;95
2022-01-23;Radiación solar;Noroeste;Casa de Campo;73
2022-01-24;Radiación solar;Noroeste;Casa de Campo;56
2022-01-25;Radiación solar;Noroeste;Casa de Campo;53
2022-01-26;Radiación solar;Noroeste;Casa de Campo;113
2022-01-27;Radiación solar;Noroeste;Casa de Campo;127
2022-01-28;Radiación solar;Noroeste;Casa de Campo;135
2022-01-29;Radiación solar;Noroeste;Casa de Campo;137
2022-01-30;Radiación solar;Noroeste;Casa de Campo;132
2022-01-31;Radiación solar;Noroeste;Casa de Campo;134
