Fecha;Magnitud;Zona;Estación;Valor
2022-08-01;Temperatura media;Noroeste;Casa de Campo;31,2
2022-08-02;Temperatura media;Noroeste;Casa de Campo;30,7
2022-08-03;Temperatura media;Noroeste;Casa de Campo;29,5
2022-08-04;Temperatura media;Noroeste;Casa de Campo;29,9
2022-08-05;Temperatura media;Noroeste;Casa de Campo;30,4
2022-08-06;Temperatura media;Noroeste;Casa de Campo;29,7
2022-08-07;Temperatura media;Noroeste;Casa de Campo;29,7
2022-08-08;Temperatura media;Noroeste;Casa de Campo;28,7
2022-08-09;Temperatura media;Noroeste;Casa de Campo;29,8
2022-08-10;Temperatura media;Noroeste;Casa de Campo;30,9
2022-08-11;Temperatura media;Noroeste;Casa de Campo;30,1
2022-08-12;Temperatura media;Noroeste;Casa de Campo;29,7
2022-08-13;Temperatura media;Noroeste;Casa de Campo;25,3
2022-08-14;Temperatura media;Noroeste;Casa de Campo;23,9
2022-08-15;Temperatura media;Noroeste;Casa de Campo;24,9
2022-08-16;Temperatura media;Noroeste;Casa de Campo;23,6
2022-08-17;Temperatura media;Noroeste;Casa de Campo;21,4
2022-08-18;Temperatura media;Noroeste;Casa de Campo;21,9
2022-08-19;Temperatura media;Noroeste;Casa de Campo;23,6
2022-08-20;Temperatura media;Noroeste;Casa de Campo;26,3
2022-08-21;Temperatura media;Noroeste;Casa de Campo;27,3
2022-08-22;Temperatura media;Noroeste;Casa de Campo;28,1
2022-08-23;Temperatura media;Noroeste;Casa de Campo;28,7
2022-08-24;Temperatura media;Noroeste;Casa de Campo;28,1
2022-08-25;Temperatura media;Noroeste;Casa de Campo;27,6
2022-08-26;Temperatura media;Noroeste;Casa de Campo;25,6
2022-08-27;Temperatura media;Noroeste;Casa de Campo;25,3
2022-08-28;Temperatura media;Noroeste;Casa de Campo;27,4
2022-08-29;Temperatura media;Noroeste;Casa de Campo;27,1
2022-08-30;Temperatura media;Noroeste;Casa de Campo;26,3
2022-08-31;Temperatura media;Noroeste;Casa de Campo;25,6
