Fecha;Magnitud;Zona;Estación;Valor
2022-07-01;Temperatura media;Noroeste;Casa de Campo;24,1
2022-07-02;Temperatura media;Noroeste;Casa de Campo;28,2
2022-07-03;Temperatura media;Noroeste;Casa de Campo;28,5
2022-07-04;Temperatura media;Noroeste;Casa de Campo;27,3
2022-07-05;Temperatura media;Noroeste;Casa de Campo;27,4
2022-07-06;Temperatura media;Noroeste;Casa de Campo;25,0
2022-07-07;Temperatura media;Noroeste;Casa de Campo;24,7
2022-07-08;Temperatura media;Noroeste;Casa de Campo;26,9
2022-07-09;Temperatura media;Noroeste;Casa de Campo;29,3
2022-07-10;Temperatura media;Noroeste;Casa de Campo;30,6
2022-07-11;Temperatura media;Noroeste;Casa de Campo;30,1
2022-07-12;Temperatura media;Noroeste;Casa de Campo;31,5
2022-07-13;Temperatura media;Noroeste;Casa de Campo;31,8
2022-07-14;Temperatura media;Noroeste;Casa de Campo;33,8
2022-07-15;Temperatura media;Noroeste;Casa de Campo;32,7
2022-07-16;Temperatura media;Noroeste;Casa de Campo;32,5
2022-07-17;Temperatura media;Noroeste;Casa de Campo;31,9
2022-07-18;Temperatura media;Noroeste;Casa de Campo;32,1
2022-07-19;Temperatura media;Noroeste;Casa de Campo;28,2
2022-07-20;Temperatura media;Noroeste;Casa de Campo;28,5
2022-07-21;Temperatura media;Noroeste;Casa de Campo;30,5
2022-07-22;Temperatura media;Noroeste;Casa de Campo;30,2
2022-07-23;Temperatura media;Noroeste;Casa de Campo;28,6
2022-07-24;Temperatura media;Noroeste;Casa de Campo;29,2
2022-07-25;Temperatura media;Noroeste;Casa de Campo;30,3
2022-07-26;Temperatura media;Noroeste;Casa de Campo;28,6
2022-07-27;Temperatura media;Noroeste;Casa de Campo;28,4
2022-07-28;Temperatura media;Noroeste;Casa de Campo;28,9
2022-07-29;Temperatura media;Noroeste;Casa de Campo;29,0
2022-07-30;Temperatura media;Noroeste;Casa de Campo;27,3
2022-07-31;Temperatura media;Noroeste;Casa de Campo;28,7
