Fecha;Magnitud;Zona;Estación;Valor
2022-03-01;Temperatura media;Noroeste;Casa de Campo;9,7
2022-03-02;Temperatura media;Noroeste;Casa de Campo;11,5
2022-03-03;Temperatura media;Noroeste;Casa de Campo;8,0
2022-03-04;Temperatura media;Noroeste;Casa de Campo;8,8
2022-03-05;Temperatura media;Noroeste;Casa de Campo;7,5
2022-03-06;Temperatura media;Noroeste;Casa de Campo;7,6
2022-03-07;Temperatura media;Noroeste;Casa de Campo;6,7
2022-03-08;Temperatura media;Noroeste;Casa de Campo;8,2
2022-03-09;Temperatura media;Noroeste;Casa de Campo;8,0
2022-03-10;Temperatura media;Noroeste;Casa de Campo;10,3
2022-03-11;Temperatura media;Noroeste;Casa de Campo;8,9
2022-03-12;Temperatura media;Noroeste;Casa de Campo;7,8
2022-03-13;Temperatura media;Noroeste;Casa de Campo;9,3
2022-03-14;Temperatura media;Noroeste;Casa de Campo;8,4
2022-03-15;Temperatura media;Noroeste;Casa de Campo;13,9
2022-03-16;Temperatura media;Noroeste;Casa de Campo;12,6
2022-03-17;Temperatura media;Noroeste;Casa de Campo;10,5
2022-03-18;Temperatura media;Noroeste;Casa de Campo;10,2
2022-03-19;Temperatura media;Noroeste;Casa de Campo;10,0
2022-03-20;Temperatura media;Noroeste;Casa de Campo;10,7
2022-03-21;Temperatura media;Noroeste;Casa de Campo;9,6
2022-03-22;Temperatura media;Noroeste;Casa de Campo;9,1
2022-03-23;Temperatura media;Noroeste;Casa de Campo;8,6
2022-03-24;Temperatura media;Noroeste;Casa de Campo;9,0
2022-03-25;Temperatura media;Noroeste;Casa de Campo;9,8
2022-03-26;Temperatura media;Noroeste;Casa de Campo;9,8
2022-03-27;Temperatura media;Noroeste;Casa de Campo;11,3
2022-03-28;Temperatura media;Noroeste;Casa de Campo;11,0
2022-03-29;Temperatura media;Noroeste;Casa de Campo;12,5
2022-03-30;Temperatura media;Noroeste;Casa de Campo;10,1
2022-03-31;Temperatura media;Noroeste;Casa de Campo;8,4
