Fecha;Magnitud;Zona;Estación;Valor
2022-05-01;Temperatura media;Noroeste;Casa de Campo;18,6
2022-05-02;Temperatura media;Noroeste;Casa de Campo;14,1
2022-05-03;Temperatura media;Noroeste;Casa de Campo;12,7
2022-05-04;Temperatura media;Noroeste;Casa de Campo;15,0
2022-05-05;Temperatura media;Noroeste;Casa de Campo;16,5
2022-05-06;Temperatura media;Noroeste;Casa de Campo;17,0
2022-05-07;Temperatura media;Noroeste;Casa de Campo;17,4
2022-05-08;Temperatura media;Noroeste;Casa de Campo;19,2
2022-05-09;Temperatura media;Noroeste;Casa de Campo;20,7
2022-05-10;Temperatura media;Noroeste;Casa de Campo;21,2
2022-05-11;Temperatura media;Noroeste;Casa de Campo;22,0
2022-05-12;Temperatura media;Noroeste;Casa de Campo;21,7
2022-05-13;Temperatura media;Noroeste;Casa de Campo;21,7
2022-05-14;Temperatura media;Noroeste;Casa de Campo;21,3
2022-05-15;Temperatura media;Noroeste;Casa de Campo;19,4
2022-05-16;Temperatura media;Noroeste;Casa de Campo;18,9
2022-05-17;Temperatura media;Noroeste;Casa de Campo;20,5
2022-05-18;Temperatura media;Noroeste;Casa de Campo;23,3
2022-05-19;Temperatura media;Noroeste;Casa de Campo;25,4
2022-05-20;Temperatura media;Noroeste;Casa de Campo;26,2
2022-05-21;Temperatura media;Noroeste;Casa de Campo;26,4
2022-05-22;Temperatura media;Noroeste;Casa de Campo;22,6
2022-05-23;Temperatura media;Noroeste;Casa de Campo;20,7
2022-05-24;Temperatura media;Noroeste;Casa de Campo;17,3
2022-05-25;Temperatura media;Noroeste;Casa de Campo;15,8
2022-05-26;Temperatura media;Noroeste;Casa de Campo;18,7
2022-05-27;Temperatura media;Noroeste;Casa de Campo;23,5
2022-05-28;Temperatura media;Noroeste;Casa de Campo;24,8
2022-05-29;Temperatura media;Noroeste;Casa de Campo;23,4
2022-05-30;Temperatura media;Noroeste;Casa de Campo;18,8
2022-05-31;Temperatura media;Noroeste;Casa de Campo;21,6
