Fecha;Magnitud;Zona;Estación;Valor
2022-10-01;Temperatura media;Noroeste;Casa de Campo;15,5
2022-10-02;Temperatura media;Noroeste;Casa de Campo;18,2
2022-10-03;Temperatura media;Noroeste;Casa de Campo;19,5
2022-10-04;Temperatura media;Noroeste;Casa de Campo;20,4
2022-10-05;Temperatura media;Noroeste;Casa de Campo;20,1
2022-10-06;Temperatura media;Noroeste;Casa de Campo;20,2
2022-10-07;Temperatura media;Noroeste;Casa de Campo;18,3
2022-10-08;Temperatura media;Noroeste;Casa de Campo;18,3
2022-10-09;Temperatura media;Noroeste;Casa de Campo;19,3
2022-10-10;Temperatura media;Noroeste;Casa de Campo;16,5
2022-10-11;Temperatura media;Noroeste;Casa de Campo;17,6
2022-10-12;Temperatura media;Noroeste;Casa de Campo;17,7
2022-10-13;Temperatura media;Noroeste;Casa de Campo;17,8
2022-10-14;Temperatura media;Noroeste;Casa de Campo;18,5
2022-10-15;Temperatura media;Noroeste;Casa de Campo;18,3
2022-10-16;Temperatura media;Noroeste;Casa de Campo;18,0
2022-10-17;Temperatura media;Noroeste;Casa de Campo;19,4
2022-10-18;Temperatura media;Noroeste;Casa de Campo;19,8
2022-10-19;Temperatura media;Noroeste;Casa de Campo;18,8
2022-10-20;Temperatura media;Noroeste;Casa de Campo;15,6
2022-10-21;Temperatura media;Noroeste;Casa de Campo;15,4
2022-10-22;Temperatura media;Noroeste;Casa de Campo;16,0
2022-10-23;Temperatura media;Noroeste;Casa de Campo;15,3
2022-10-24;Temperatura media;Noroeste;Casa de Campo;14,6
2022-10-25;Temperatura media;Noroeste;Casa de Campo;16,8
2022-10-26;Temperatura media;Noroeste;Casa de Campo;17,2
2022-10-27;Temperatura media;Noroeste;Casa de Campo;18,9
2022-10-28;Temperatura media;Noroeste;Casa de Campo;17,8
2022-10-29;Temperatura media;Noroeste;Casa de Campo;17,6
2022-10-30;Temperatura media;Noroeste;Casa de Campo;14,9
2022-10-31;Temperatura media;Noroeste;Casa de Campo;12,9
