Fecha;Magnitud;Zona;Estación;Valor
2022-08-01;Velocidad del viento;Noroeste;Casa de Campo;1,2
2022-08-02;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-08-03;Velocidad del viento;Noroeste;Casa de Campo;1,6
2022-08-04;Velocidad del viento;Noroeste;Casa de Campo;1,7
2022-08-05;Velocidad del viento;Noroeste;Casa de Campo;1,7
2022-08-06;Velocidad del viento;Noroeste;Casa de Campo;1,6
2022-08-07;Velocidad del viento;Noroeste;Casa de Campo;1,7
2022-08-08;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-08-09;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-08-10;Velocidad del viento;Noroeste;Casa de Campo;2,1
2022-08-11;Velocidad del viento;Noroeste;Casa de Campo;1,8
2022-08-12;Velocidad del viento;Noroeste;Casa de Campo;1,6
2022-08-13;Velocidad del viento;Noroeste;Casa de Campo;2,0
2022-08-14;Velocidad del viento;Noroeste;Casa de Campo;2,0
2022-08-15;Velocidad del viento;Noroeste;Casa de Campo;1,9
2022-08-16;Velocidad del viento;Noroeste;Casa de Campo;2,4
2022-08-17;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-08-18;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-08-19;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-08-20;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-08-21;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-08-22;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-08-23;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-08-24;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-08-25;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-08-26;Velocidad del viento;Noroeste;Casa de Campo;1,7
2022-08-27;Velocidad del viento;Noroeste;Casa de Campo;1,1
2022-08-28;Velocidad del viento;Noroeste;Casa de Campo;2,0
2022-08-29;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-08-30;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-08-31;Velocidad del viento;Noroeste;Casa de Campo;2,4
