Fecha;Magnitud;Zona;Estación;Valor
2023-04-01;Humedad relativa;Noroeste;Casa de Campo;51
2023-04-02;Humedad relativa;Noroeste;Casa de Campo;41
2023-04-03;Humedad relativa;Noroeste;Casa de Campo;39
2023-04-04;Humedad relativa;Noroeste;Casa de Campo;28
2023-04-05;Humedad relativa;Noroeste;Casa de Campo;21
2023-04-06;Humedad relativa;Noroeste;Casa de Campo;24
2023-04-07;Humedad relativa;Noroeste;Casa de Campo;27
2023-04-08;Humedad relativa;Noroeste;Casa de Campo;34
2023-04-09;Humedad relativa;Noroeste;Casa de Campo;35
2023-04-10;Humedad relativa;Noroeste;Casa de Campo;31
2023-04-11;Humedad relativa;Noroeste;Casa de Campo;39
2023-04-12;Humedad relativa;Noroeste;Casa de Campo;52
2023-04-13;Humedad relativa;Noroeste;Casa de Campo;41
2023-04-14;Humedad relativa;Noroeste;Casa de Campo;52
2023-04-15;Humedad relativa;Noroeste;Casa de Campo;45
2023-04-16;Humedad relativa;Noroeste;Casa de Campo;40
2023-04-17;Humedad relativa;Noroeste;Casa de Campo;28
2023-04-18;Humedad relativa;Noroeste;Casa de Campo;33
2023-04-19;Humedad relativa;Noroeste;Casa de Campo;42
2023-04-20;Humedad relativa;Noroeste;Casa de Campo;36
2023-04-21;Humedad relativa;Noroeste;Casa de Campo;39
2023-04-22;Humedad relativa;Noroeste;Casa de Campo;61
2023-04-23;Humedad relativa;Noroeste;Casa de Campo;48
2023-04-24;Humedad relativa;Noroeste;Casa de Campo;49
2023-04-25;Humedad relativa;Noroeste;Casa de Campo;45
2023-04-26;Humedad relativa;Noroeste;Casa de Campo;38
2023-04-27;Humedad relativa;Noroeste;Casa de Campo;34
2023-04-28;Humedad relativa;Noroeste;Casa de Campo;36
2023-04-29;Humedad relativa;Noroeste;Casa de Campo;41
2023-04-30;Humedad relativa;Noroeste;Casa de Campo;46
