Fecha;Magnitud;Zona;Estación;Valor
2023-08-01;Humedad relativa;Noroeste;Casa de Campo;26
2023-08-02;Humedad relativa;Noroeste;Casa de Campo;34
2023-08-03;Humedad relativa;Noroeste;Casa de Campo;38
2023-08-04;Humedad relativa;Noroeste;Casa de Campo;24
2023-08-05;Humedad relativa;Noroeste;Casa de Campo;34
2023-08-06;Humedad relativa;Noroeste;Casa de Campo;29
2023-08-07;Humedad relativa;Noroeste;Casa de Campo;28
2023-08-08;Humedad relativa;Noroeste;Casa de Campo;32
2023-08-09;Humedad relativa;Noroeste;Casa de Campo;31
2023-08-10;Humedad relativa;Noroeste;Casa de Campo;26
2023-08-11;Humedad relativa;Noroeste;Casa de Campo;23
2023-08-12;Humedad relativa;Noroeste;Casa de Campo;28
2023-08-13;Humedad relativa;Noroeste;Casa de Campo;33
2023-08-14;Humedad relativa;Noroeste;Casa de Campo;22
2023-08-15;Humedad relativa;Noroeste;Casa de Campo;24
2023-08-16;Humedad relativa;Noroeste;Casa de Campo;27
2023-08-17;Humedad relativa;Noroeste;Casa de Campo;29
2023-08-18;Humedad relativa;Noroeste;Casa de Campo;26
2023-08-19;Humedad relativa;Noroeste;Casa de Campo;31
2023-08-20;Humedad relativa;Noroeste;Casa de Campo;27
2023-08-21;Humedad relativa;Noroeste;Casa de Campo;28
2023-08-22;Humedad relativa;Noroeste;Casa de Campo;24
2023-08-23;Humedad relativa;Noroeste;Casa de Campo;25
2023-08-24;Humedad relativa;Noroeste;Casa de Campo;25
2023-08-25;Humedad relativa;Noroeste;Casa de Campo;21
2023-08-26;Humedad relativa;Noroeste;Casa de Campo;27
2023-08-27;Humedad relativa;Noroeste;Casa de Campo;38
2023-08-28;Humedad relativa;Noroeste;Casa de Campo;41
2023-08-29;Humedad relativa;Noroeste;Casa de Campo;40
2023-08-30;Humedad relativa;Noroeste;Casa de Campo;39
2023-08-31;Humedad relativa;Noroeste;Casa de Campo;36
