Fecha;Magnitud;Zona;Estación;Valor
2023-12-01;Humedad relativa;Noroeste;Casa de Campo;77
2023-12-02;Humedad relativa;Noroeste;Casa de Campo;68
2023-12-03;Humedad relativa;Noroeste;Casa de Campo;86
2023-12-04;Humedad relativa;Noroeste;Casa de Campo;91
2023-12-05;Humedad relativa;Noroeste;Casa de Campo;74
2023-12-06;Humedad relativa;Noroeste;Casa de Campo;77
2023-12-07;Humedad relativa;Noroeste;Casa de Campo;95
2023-12-08;Humedad relativa;Noroeste;Casa de Campo;75
2023-12-09;Humedad relativa;Noroeste;Casa de Campo;89
2023-12-10;Humedad relativa;Noroeste;Casa de Campo;96
2023-12-11;Humedad relativa;Noroeste;Casa de Campo;89
2023-12-12;Humedad relativa;Noroeste;Casa de Campo;96
2023-12-13;Humedad relativa;Noroeste;Casa de Campo;73
2023-12-14;Humedad relativa;Noroeste;Casa de Campo;71
2023-12-15;Humedad relativa;Noroeste;Casa de Campo;77
2023-12-16;Humedad relativa;Noroeste;Casa de Campo;79
2023-12-17;Humedad relativa;Noroeste;Casa de Campo;78
2023-12-18;Humedad relativa;Noroeste;Casa de Campo;80
2023-12-19;Humedad relativa;Noroeste;Casa de Campo;82
2023-12-20;Humedad relativa;Noroeste;Casa de Campo;72
2023-12-21;Humedad relativa;Noroeste;Casa de Campo;74
2023-12-22;Humedad relativa;Noroeste;Casa de Campo;79
2023-12-23;Humedad relativa;Noroeste;Casa de Campo;77
2023-12-24;Humedad relativa;Noroeste;Casa de Campo;79
2023-12-25;Humedad relativa;Noroeste;Casa de Campo;84
2023-12-26;Humedad relativa;Noroeste;Casa de Campo;86
2023-12-27;Humedad relativa;Noroeste;Casa de Campo;82
2023-12-28;Humedad relativa;Noroeste;Casa de Campo;86
2023-12-29;Humedad relativa;Noroeste;Casa de Campo;88
2023-12-30;Humedad relativa;Noroeste;Casa de Campo;82
2023-12-31;Humedad relativa;Noroeste;Casa de Campo;91
