Fecha;Magnitud;Zona;Estación;Valor
2023-10-01;Humedad relativa;Noroeste;Casa de Campo;56
2023-10-02;Humedad relativa;Noroeste;Casa de Campo;51
2023-10-03;Humedad relativa;Noroeste;Casa de Campo;56
2023-10-04;Humedad relativa;Noroeste;Casa de Campo;60
2023-10-05;Humedad relativa;Noroeste;Casa de Campo;60
2023-10-06;Humedad relativa;Noroeste;Casa de Campo;50
2023-10-07;Humedad relativa;Noroeste;Casa de Campo;47
2023-10-08;Humedad relativa;Noroeste;Casa de Campo;50
2023-10-09;Humedad relativa;Noroeste;Casa de Campo;49
2023-10-10;Humedad relativa;Noroeste;Casa de Campo;54
2023-10-11;Humedad relativa;Noroeste;Casa de Campo;55
2023-10-12;Humedad relativa;Noroeste;Casa de Campo;52
2023-10-13;Humedad relativa;Noroeste;Casa de Campo;50
2023-10-14;Humedad relativa;Noroeste;Casa de Campo;76
2023-10-15;Humedad relativa;Noroeste;Casa de Campo;81
2023-10-16;Humedad relativa;Noroeste;Casa de Campo;80
2023-10-17;Humedad relativa;Noroeste;Casa de Campo;72
2023-10-18;Humedad relativa;Noroeste;Casa de Campo;84
2023-10-19;Humedad relativa;Noroeste;Casa de Campo;97
2023-10-20;Humedad relativa;Noroeste;Casa de Campo;81
2023-10-21;Humedad relativa;Noroeste;Casa de Campo;68
2023-10-22;Humedad relativa;Noroeste;Casa de Campo;80
2023-10-23;Humedad relativa;Noroeste;Casa de Campo;91
2023-10-24;Humedad relativa;Noroeste;Casa de Campo;90
2023-10-25;Humedad relativa;Noroeste;Casa de Campo;91
2023-10-26;Humedad relativa;Noroeste;Casa de Campo;90
2023-10-27;Humedad relativa;Noroeste;Casa de Campo;88
2023-10-28;Humedad relativa;Noroeste;Casa de Campo;84
2023-10-29;Humedad relativa;Noroeste;Casa de Campo;85
2023-10-30;Humedad relativa;Noroeste;Casa de Campo;84
2023-10-31;Humedad relativa;Noroeste;Casa de Campo;87
