Fecha;Magnitud;Zona;Estación;Valor
2023-09-01;Humedad relativa;Noroeste;Casa de Campo;37
2023-09-02;Humedad relativa;Noroeste;Casa de Campo;72
2023-09-03;Humedad relativa;Noroeste;Casa de Campo;93
2023-09-04;Humedad relativa;Noroeste;Casa de Campo;86
2023-09-05;Humedad relativa;Noroeste;Casa de Campo;69
2023-09-06;Humedad relativa;Noroeste;Casa de Campo;70
2023-09-07;Humedad relativa;Noroeste;Casa de Campo;64
2023-09-08;Humedad relativa;Noroeste;Casa de Campo;61
2023-09-09;Humedad relativa;Noroeste;Casa de Campo;70
2023-09-10;Humedad relativa;Noroeste;Casa de Campo;75
2023-09-11;Humedad relativa;Noroeste;Casa de Campo;71
2023-09-12;Humedad relativa;Noroeste;Casa de Campo;64
2023-09-13;Humedad relativa;Noroeste;Casa de Campo;56
2023-09-14;Humedad relativa;Noroeste;Casa de Campo;62
2023-09-15;Humedad relativa;Noroeste;Casa de Campo;73
2023-09-16;Humedad relativa;Noroeste;Casa de Campo;79
2023-09-17;Humedad relativa;Noroeste;Casa de Campo;85
2023-09-18;Humedad relativa;Noroeste;Casa de Campo;80
2023-09-19;Humedad relativa;Noroeste;Casa de Campo;71
2023-09-20;Humedad relativa;Noroeste;Casa de Campo;65
2023-09-21;Humedad relativa;Noroeste;Casa de Campo;75
2023-09-22;Humedad relativa;Noroeste;Casa de Campo;54
2023-09-23;Humedad relativa;Noroeste;Casa de Campo;59
2023-09-24;Humedad relativa;Noroeste;Casa de Campo;58
2023-09-25;Humedad relativa;Noroeste;Casa de Campo;54
2023-09-26;Humedad relativa;Noroeste;Casa de Campo;57
2023-09-27;Humedad relativa;Noroeste;Casa de Campo;62
2023-09-28;Humedad relativa;Noroeste;Casa de Campo;63
2023-09-29;Humedad relativa;Noroeste;Casa de Campo;56
2023-09-30;Humedad relativa;Noroeste;Casa de Campo;56
