Fecha;Magnitud;Zona;Estación;Valor
2023-04-01;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-02;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-03;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-04;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-05;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-06;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-07;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-08;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-09;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-10;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-11;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-12;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-13;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-14;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-15;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-16;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-17;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-18;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-19;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-20;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-21;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-22;Precipitación;Noroeste;Casa de Campo;0,26
2023-04-23;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-24;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-25;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-26;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-27;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-28;Precipitación;Noroeste;Casa de Campo;0,00
2023-04-29;Precipitación;Noroeste;Casa de Campo;0,01
2023-04-30;Precipitación;Noroeste;Casa de Campo;0,00
