Fecha;Magnitud;Zona;Estación;Valor
2023-03-01;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-02;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-03;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-04;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-05;Precipitación;Noroeste;Casa de Campo;0,13
2023-03-06;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-07;Precipitación;Noroeste;Casa de Campo;0,01
2023-03-08;Precipitación;Noroeste;Casa de Campo;0,07
2023-03-09;Precipitación;Noroeste;Casa de Campo;0,49
2023-03-10;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-11;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-12;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-13;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-14;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-15;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-16;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-17;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-18;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-19;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-20;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-21;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-22;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-23;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-24;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-25;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-26;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-27;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-28;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-29;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-30;Precipitación;Noroeste;Casa de Campo;0,00
2023-03-31;Precipitación;Noroeste;Casa de Campo;0,00
