Fecha;Magnitud;Zona;Estación;Valor
2023-08-01;Radiación solar;Noroeste;Casa de Campo;331
2023-08-02;Radiación solar;Noroeste;Casa de Campo;331
2023-08-03;Radiación solar;Noroeste;Casa de Campo;330
2023-08-04;Radiación solar;Noroeste;Casa de Campo;375
2023-08-05;Radiación solar;Noroeste;Casa de Campo;328
2023-08-06;Radiación solar;Noroeste;Casa de Campo;324
2023-08-07;Radiación solar;Noroeste;Casa de Campo;322
2023-08-08;Radiación solar;Noroeste;Casa de Campo;300
2023-08-09;Radiación solar;Noroeste;Casa de Campo;250
2023-08-10;Radiación solar;Noroeste;Casa de Campo;321
2023-08-11;Radiación solar;Noroeste;Casa de Campo;313
2023-08-12;Radiación solar;Noroeste;Casa de Campo;305
2023-08-13;Radiación solar;Noroeste;Casa de Campo;310
2023-08-14;Radiación solar;Noroeste;Casa de Campo;317
2023-08-15;Radiación solar;Noroeste;Casa de Campo;297
2023-08-16;Radiación solar;Noroeste;Casa de Campo;309
2023-08-17;Radiación solar;Noroeste;Casa de Campo;307
2023-08-18;Radiación solar;Noroeste;Casa de Campo;280
2023-08-19;Radiación solar;Noroeste;Casa de Campo;299
2023-08-20;Radiación solar;Noroeste;Casa de Campo;301
2023-08-21;Radiación solar;Noroeste;Casa de Campo;289
2023-08-22;Radiación solar;Noroeste;Casa de Campo;288
2023-08-23;Radiación solar;Noroeste;Casa de Campo;292
2023-08-24;Radiación solar;Noroeste;Casa de Campo;289
2023-08-25;Radiación solar;Noroeste;Casa de Campo;274
2023-08-26;Radiación solar;Noroeste;Casa de Campo;174
2023-08-27;Radiación solar;Noroeste;Casa de Campo;291
2023-08-28;Radiación solar;Noroeste;Casa de Campo;287
2023-08-29;Radiación solar;Noroeste;Casa de Campo;272
2023-08-30;Radiación solar;Noroeste;Casa de Campo;267
2023-08-31;Radiación solar;Noroeste;Casa de Campo;279
