Fecha;Magnitud;Zona;Estación;Valor
2023-01-01;Radiación solar;Noroeste;Casa de Campo;82
2023-01-02;Radiación solar;Noroeste;Casa de Campo;75
2023-01-03;Radiación solar;Noroeste;Casa de Campo;101
2023-01-04;Radiación solar;Noroeste;Casa de Campo;99
2023-01-05;Radiación solar;Noroeste;Casa de Campo;100
2023-01-06;Radiación solar;Noroeste;Casa de Campo;101
2023-01-07;Radiación solar;Noroeste;Casa de Campo;22
2023-01-08;Radiación solar;Noroeste;Casa de Campo;43
2023-01-09;Radiación solar;Noroeste;Casa de Campo;101
2023-01-10;Radiación solar;Noroeste;Casa de Campo;101
2023-01-11;Radiación solar;Noroeste;Casa de Campo;38
2023-01-12;Radiación solar;Noroeste;Casa de Campo;109
2023-01-13;Radiación solar;Noroeste;Casa de Campo;95
2023-01-14;Radiación solar;Noroeste;Casa de Campo;102
2023-01-15;Radiación solar;Noroeste;Casa de Campo;72
2023-01-16;Radiación solar;Noroeste;Casa de Campo;42
2023-01-17;Radiación solar;Noroeste;Casa de Campo;85
2023-01-18;Radiación solar;Noroeste;Casa de Campo;104
2023-01-19;Radiación solar;Noroeste;Casa de Campo;76
2023-01-20;Radiación solar;Noroeste;Casa de Campo;106
2023-01-21;Radiación solar;Noroeste;Casa de Campo;114
2023-01-22;Radiación solar;Noroeste;Casa de Campo;126
2023-01-23;Radiación solar;Noroeste;Casa de Campo;121
2023-01-24;Radiación solar;Noroeste;Casa de Campo;75
2023-01-25;Radiación solar;Noroeste;Casa de Campo;126
2023-01-26;Radiación solar;Noroeste;Casa de Campo;110
2023-01-27;Radiación solar;Noroeste;Casa de Campo;133
2023-01-28;Radiación solar;Noroeste;Casa de Campo;128
2023-01-29;Radiación solar;Noroeste;Casa de Campo;135
2023-01-30;Radiación solar;Noroeste;Casa de Campo;134
2023-01-31;Radiación solar;Noroeste;Casa de Campo;136
