Fecha;Magnitud;Zona;Estación;Valor
2023-06-01;Radiación solar;Noroeste;Casa de Campo;237
2023-06-02;Radiación solar;Noroeste;Casa de Campo;254
2023-06-03;Radiación solar;Noroeste;Casa de Campo;315
2023-06-04;Radiación solar;Noroeste;Casa de Campo;296
2023-06-05;Radiación solar;Noroeste;Casa de Campo;266
2023-06-06;Radiación solar;Noroeste;Casa de Campo;336
2023-06-07;Radiación solar;Noroeste;Casa de Campo;63
2023-06-08;Radiación solar;Noroeste;Casa de Campo;123
2023-06-09;Radiación solar;Noroeste;Casa de Campo;289
2023-06-10;Radiación solar;Noroeste;Casa de Campo;321
2023-06-11;Radiación solar;Noroeste;Casa de Campo;346
2023-06-12;Radiación solar;Noroeste;Casa de Campo;311
2023-06-13;Radiación solar;Noroeste;Casa de Campo;282
2023-06-14;Radiación solar;Noroeste;Casa de Campo;268
2023-06-15;Radiación solar;Noroeste;Casa de Campo;341
2023-06-16;Radiación solar;Noroeste;Casa de Campo;331
2023-06-17;Radiación solar;Noroeste;Casa de Campo;307
2023-06-18;Radiación solar;Noroeste;Casa de Campo;291
2023-06-19;Radiación solar;Noroeste;Casa de Campo;273
2023-06-20;Radiación solar;Noroeste;Casa de Campo;288
2023-06-21;Radiación solar;Noroeste;Casa de Campo;208
2023-06-22;Radiación solar;Noroeste;Casa de Campo;317
2023-06-23;Radiación solar;Noroeste;Casa de Campo;353
2023-06-24;Radiación solar;Noroeste;Casa de Campo;353
2023-06-25;Radiación solar;Noroeste;Casa de Campo;330
2023-06-26;Radiación solar;Noroeste;Casa de Campo;345
2023-06-27;Radiación solar;Noroeste;Casa de Campo;304
2023-06-28;Radiación solar;Noroeste;Casa de Campo;311
2023-06-29;Radiación solar;Noroeste;Casa de Campo;341
2023-06-30;Radiación solar;Noroeste;Casa de Campo;358
