Fecha;Magnitud;Zona;Estación;Valor
2023-05-01;Radiación solar;Noroeste;Casa de Campo;310
2023-05-02;Radiación solar;Noroeste;Casa de Campo;283
2023-05-03;Radiación solar;Noroeste;Casa de Campo;276
2023-05-04;Radiación solar;Noroeste;Casa de Campo;325
2023-05-05;Radiación solar;Noroeste;Casa de Campo;327
2023-05-06;Radiación solar;Noroeste;Casa de Campo;330
2023-05-07;Radiación solar;Noroeste;Casa de Campo;288
2023-05-08;Radiación solar;Noroeste;Casa de Campo;307
2023-05-09;Radiación solar;Noroeste;Casa de Campo;315
2023-05-10;Radiación solar;Noroeste;Casa de Campo;321
2023-05-11;Radiación solar;Noroeste;Casa de Campo;327
2023-05-12;Radiación solar;Noroeste;Casa de Campo;273
2023-05-13;Radiación solar;Noroeste;Casa de Campo;328
2023-05-14;Radiación solar;Noroeste;Casa de Campo;241
2023-05-15;Radiación solar;Noroeste;Casa de Campo;292
2023-05-16;Radiación solar;Noroeste;Casa de Campo;324
2023-05-17;Radiación solar;Noroeste;Casa de Campo;347
2023-05-18;Radiación solar;Noroeste;Casa de Campo;340
2023-05-19;Radiación solar;Noroeste;Casa de Campo;314
2023-05-20;Radiación solar;Noroeste;Casa de Campo;267
2023-05-21;Radiación solar;Noroeste;Casa de Campo;237
2023-05-22;Radiación solar;Noroeste;Casa de Campo;226
2023-05-23;Radiación solar;Noroeste;Casa de Campo;254
2023-05-24;Radiación solar;Noroeste;Casa de Campo;220
2023-05-25;Radiación solar;Noroeste;Casa de Campo;244
2023-05-26;Radiación solar;Noroeste;Casa de Campo;118
2023-05-27;Radiación solar;Noroeste;Casa de Campo;215
2023-05-28;Radiación solar;Noroeste;Casa de Campo;135
2023-05-29;Radiación solar;Noroeste;Casa de Campo;282
2023-05-30;Radiación solar;Noroeste;Casa de Campo;238
2023-05-31;Radiación solar;Noroeste;Casa de Campo;302
