Fecha;Magnitud;Zona;Estación;Valor
2023-11-01;Radiación solar;Noroeste;Casa de Campo;46
2023-11-02;Radiación solar;Noroeste;Casa de Campo;83
2023-11-03;Radiación solar;Noroeste;Casa de Campo;81
2023-11-04;Radiación solar;Noroeste;Casa de Campo;44
2023-11-05;Radiación solar;Noroeste;Casa de Campo;132
2023-11-06;Radiación solar;Noroeste;Casa de Campo;131
2023-11-07;Radiación solar;Noroeste;Casa de Campo;91
2023-11-08;Radiación solar;Noroeste;Casa de Campo;91
2023-11-09;Radiación solar;Noroeste;Casa de Campo;135
2023-11-10;Radiación solar;Noroeste;Casa de Campo;128
2023-11-11;Radiación solar;Noroeste;Casa de Campo;114
2023-11-12;Radiación solar;Noroeste;Casa de Campo;123
2023-11-13;Radiación solar;Noroeste;Casa de Campo;75
2023-11-14;Radiación solar;Noroeste;Casa de Campo;74
2023-11-15;Radiación solar;Noroeste;Casa de Campo;74
2023-11-16;Radiación solar;Noroeste;Casa de Campo;61
2023-11-17;Radiación solar;Noroeste;Casa de Campo;102
2023-11-18;Radiación solar;Noroeste;Casa de Campo;118
2023-11-19;Radiación solar;Noroeste;Casa de Campo;117
2023-11-20;Radiación solar;Noroeste;Casa de Campo;113
2023-11-21;Radiación solar;Noroeste;Casa de Campo;114
2023-11-22;Radiación solar;Noroeste;Casa de Campo;47
2023-11-23;Radiación solar;Noroeste;Casa de Campo;
2023-11-24;Radiación solar;Noroeste;Casa de Campo;
2023-11-25;Radiación solar;Noroeste;Casa de Campo;167
2023-11-26;Radiación solar;Noroeste;Casa de Campo;98
2023-11-27;Radiación solar;Noroeste;Casa de Campo;70
2023-11-28;Radiación solar;Noroeste;Casa de Campo;44
2023-11-29;Radiación solar;Noroeste;Casa de Campo;58
2023-11-30;Radiación solar;Noroeste;Casa de Campo;40
