Fecha;Magnitud;Zona;Estación;Valor
2023-09-01;Radiación solar;Noroeste;Casa de Campo;226
2023-09-02;Radiación solar;Noroeste;Casa de Campo;63
2023-09-03;Radiación solar;Noroeste;Casa de Campo;41
2023-09-04;Radiación solar;Noroeste;Casa de Campo;126
2023-09-05;Radiación solar;Noroeste;Casa de Campo;244
2023-09-06;Radiación solar;Noroeste;Casa de Campo;189
2023-09-07;Radiación solar;Noroeste;Casa de Campo;198
2023-09-08;Radiación solar;Noroeste;Casa de Campo;250
2023-09-09;Radiación solar;Noroeste;Casa de Campo;171
2023-09-10;Radiación solar;Noroeste;Casa de Campo;239
2023-09-11;Radiación solar;Noroeste;Casa de Campo;207
2023-09-12;Radiación solar;Noroeste;Casa de Campo;186
2023-09-13;Radiación solar;Noroeste;Casa de Campo;250
2023-09-14;Radiación solar;Noroeste;Casa de Campo;174
2023-09-15;Radiación solar;Noroeste;Casa de Campo;182
2023-09-16;Radiación solar;Noroeste;Casa de Campo;119
2023-09-17;Radiación solar;Noroeste;Casa de Campo;105
2023-09-18;Radiación solar;Noroeste;Casa de Campo;121
2023-09-19;Radiación solar;Noroeste;Casa de Campo;213
2023-09-20;Radiación solar;Noroeste;Casa de Campo;231
2023-09-21;Radiación solar;Noroeste;Casa de Campo;102
2023-09-22;Radiación solar;Noroeste;Casa de Campo;223
2023-09-23;Radiación solar;Noroeste;Casa de Campo;234
2023-09-24;Radiación solar;Noroeste;Casa de Campo;232
2023-09-25;Radiación solar;Noroeste;Casa de Campo;230
2023-09-26;Radiación solar;Noroeste;Casa de Campo;217
2023-09-27;Radiación solar;Noroeste;Casa de Campo;211
2023-09-28;Radiación solar;Noroeste;Casa de Campo;215
2023-09-29;Radiación solar;Noroeste;Casa de Campo;217
2023-09-30;Radiación solar;Noroeste;Casa de Campo;212
