Fecha;Magnitud;Zona;Estación;Valor
2023-06-01;Temperatura media;Noroeste;Casa de Campo;17,4
2023-06-02;Temperatura media;Noroeste;Casa de Campo;17,3
2023-06-03;Temperatura media;Noroeste;Casa de Campo;18,2
2023-06-04;Temperatura media;Noroeste;Casa de Campo;20,0
2023-06-05;Temperatura media;Noroeste;Casa de Campo;20,2
2023-06-06;Temperatura media;Noroeste;Casa de Campo;22,0
2023-06-07;Temperatura media;Noroeste;Casa de Campo;18,0
2023-06-08;Temperatura media;Noroeste;Casa de Campo;17,8
2023-06-09;Temperatura media;Noroeste;Casa de Campo;19,1
2023-06-10;Temperatura media;Noroeste;Casa de Campo;21,2
2023-06-11;Temperatura media;Noroeste;Casa de Campo;22,2
2023-06-12;Temperatura media;Noroeste;Casa de Campo;21,9
2023-06-13;Temperatura media;Noroeste;Casa de Campo;19,9
2023-06-14;Temperatura media;Noroeste;Casa de Campo;21,5
2023-06-15;Temperatura media;Noroeste;Casa de Campo;24,3
2023-06-16;Temperatura media;Noroeste;Casa de Campo;25,9
2023-06-17;Temperatura media;Noroeste;Casa de Campo;26,8
2023-06-18;Temperatura media;Noroeste;Casa de Campo;25,0
2023-06-19;Temperatura media;Noroeste;Casa de Campo;23,5
2023-06-20;Temperatura media;Noroeste;Casa de Campo;22,6
2023-06-21;Temperatura media;Noroeste;Casa de Campo;21,4
2023-06-22;Temperatura media;Noroeste;Casa de Campo;22,2
2023-06-23;Temperatura media;Noroeste;Casa de Campo;26,0
2023-06-24;Temperatura media;Noroeste;Casa de Campo;27,6
2023-06-25;Temperatura media;Noroeste;Casa de Campo;29,2
2023-06-26;Temperatura media;Noroeste;Casa de Campo;29,7
2023-06-27;Temperatura media;Noroeste;Casa de Campo;29,2
2023-06-28;Temperatura media;Noroeste;Casa de Campo;28,8
2023-06-29;Temperatura media;Noroeste;Casa de Campo;27,0
2023-06-30;Temperatura media;Noroeste;Casa de Campo;22,9
