Fecha;Magnitud;Zona;Estación;Valor
2023-11-01;Temperatura media;Noroeste;Casa de Campo;11,1
2023-11-02;Temperatura media;Noroeste;Casa de Campo;11,8
2023-11-03;Temperatura media;Noroeste;Casa de Campo;9,2
2023-11-04;Temperatura media;Noroeste;Casa de Campo;11,1
2023-11-05;Temperatura media;Noroeste;Casa de Campo;10,1
2023-11-06;Temperatura media;Noroeste;Casa de Campo;8,5
2023-11-07;Temperatura media;Noroeste;Casa de Campo;6,9
2023-11-08;Temperatura media;Noroeste;Casa de Campo;8,0
2023-11-09;Temperatura media;Noroeste;Casa de Campo;11,6
2023-11-10;Temperatura media;Noroeste;Casa de Campo;11,3
2023-11-11;Temperatura media;Noroeste;Casa de Campo;13,9
2023-11-12;Temperatura media;Noroeste;Casa de Campo;14,7
2023-11-13;Temperatura media;Noroeste;Casa de Campo;15,3
2023-11-14;Temperatura media;Noroeste;Casa de Campo;12,5
2023-11-15;Temperatura media;Noroeste;Casa de Campo;12,3
2023-11-16;Temperatura media;Noroeste;Casa de Campo;12,3
2023-11-17;Temperatura media;Noroeste;Casa de Campo;13,4
2023-11-18;Temperatura media;Noroeste;Casa de Campo;12,1
2023-11-19;Temperatura media;Noroeste;Casa de Campo;11,9
2023-11-20;Temperatura media;Noroeste;Casa de Campo;11,5
2023-11-21;Temperatura media;Noroeste;Casa de Campo;9,3
2023-11-22;Temperatura media;Noroeste;Casa de Campo;6,9
2023-11-23;Temperatura media;Noroeste;Casa de Campo;
2023-11-24;Temperatura media;Noroeste;Casa de Campo;
2023-11-25;Temperatura media;Noroeste;Casa de Campo;12,8
2023-11-26;Temperatura media;Noroeste;Casa de Campo;8,2
2023-11-27;Temperatura media;Noroeste;Casa de Campo;7,1
2023-11-28;Temperatura media;Noroeste;Casa de Campo;9,0
2023-11-29;Temperatura media;Noroeste;Casa de Campo;12,0
2023-11-30;Temperatura media;Noroeste;Casa de Campo;12,7
