Fecha;Magnitud;Zona;Estación;Valor
2023-01-01;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-01-02;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-01-03;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-01-04;Velocidad del viento;Noroeste;Casa de Campo;0,6
2023-01-05;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-01-06;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-01-07;Velocidad del viento;Noroeste;Casa de Campo;0,6
2023-01-08;Velocidad del viento;Noroeste;Casa de Campo;3,5
2023-01-09;Velocidad del viento;Noroeste;Casa de Campo;1,8
2023-01-10;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-01-11;Velocidad del viento;Noroeste;Casa de Campo;0,6
2023-01-12;Velocidad del viento;Noroeste;Casa de Campo;0,9
2023-01-13;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-01-14;Velocidad del viento;Noroeste;Casa de Campo;0,9
2023-01-15;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-01-16;Velocidad del viento;Noroeste;Casa de Campo;4,1
2023-01-17;Velocidad del viento;Noroeste;Casa de Campo;4,1
2023-01-18;Velocidad del viento;Noroeste;Casa de Campo;2,4
2023-01-19;Velocidad del viento;Noroeste;Casa de Campo;2,8
2023-01-20;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-01-21;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-01-22;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-01-23;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-01-24;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-01-25;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-01-26;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-01-27;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-01-28;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-01-29;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-01-30;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-01-31;Velocidad del viento;Noroeste;Casa de Campo;0,8
