Fecha;Magnitud;Zona;Estación;Valor
2023-07-01;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-07-02;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-07-03;Velocidad del viento;Noroeste;Casa de Campo;2,0
2023-07-04;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-07-05;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-07-06;Velocidad del viento;Noroeste;Casa de Campo;2,0
2023-07-07;Velocidad del viento;Noroeste;Casa de Campo;2,1
2023-07-08;Velocidad del viento;Noroeste;Casa de Campo;1,9
2023-07-09;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-07-10;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-07-11;Velocidad del viento;Noroeste;Casa de Campo;2,1
2023-07-12;Velocidad del viento;Noroeste;Casa de Campo;1,8
2023-07-13;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-07-14;Velocidad del viento;Noroeste;Casa de Campo;2,1
2023-07-15;Velocidad del viento;Noroeste;Casa de Campo;3,0
2023-07-16;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-07-17;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-07-18;Velocidad del viento;Noroeste;Casa de Campo;1,9
2023-07-19;Velocidad del viento;Noroeste;Casa de Campo;2,5
2023-07-20;Velocidad del viento;Noroeste;Casa de Campo;2,5
2023-07-21;Velocidad del viento;Noroeste;Casa de Campo;2,0
2023-07-22;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-07-23;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-07-24;Velocidad del viento;Noroeste;Casa de Campo;2,2
2023-07-25;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-07-26;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-07-27;Velocidad del viento;Noroeste;Casa de Campo;2,2
2023-07-28;Velocidad del viento;Noroeste;Casa de Campo;2,0
2023-07-29;Velocidad del viento;Noroeste;Casa de Campo;2,0
2023-07-30;Velocidad del viento;Noroeste;Casa de Campo;1,8
2023-07-31;Velocidad del viento;Noroeste;Casa de Campo;1,5
