Fecha;Magnitud;Zona;Estación;Valor
2023-06-01;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-02;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-03;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-06-04;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-06-05;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-06-06;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-06-07;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-06-08;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-06-09;Velocidad del viento;Noroeste;Casa de Campo;2,1
2023-06-10;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-06-11;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-06-12;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-06-13;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-06-14;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-06-15;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-16;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-06-17;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-06-18;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-06-19;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-06-20;Velocidad del viento;Noroeste;Casa de Campo;1,9
2023-06-21;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-06-22;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-06-23;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-24;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-25;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-06-26;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-06-27;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-28;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-06-29;Velocidad del viento;Noroeste;Casa de Campo;1,8
2023-06-30;Velocidad del viento;Noroeste;Casa de Campo;2,1
