Fecha;Magnitud;Zona;Estación;Valor
2023-05-01;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-05-02;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-05-03;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-05-04;Velocidad del viento;Noroeste;Casa de Campo;3,1
2023-05-05;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-05-06;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-05-07;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-05-08;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-05-09;Velocidad del viento;Noroeste;Casa de Campo;1,9
2023-05-10;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-05-11;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-05-12;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-05-13;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-05-14;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-05-15;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-05-16;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-05-17;Velocidad del viento;Noroeste;Casa de Campo;2,7
2023-05-18;Velocidad del viento;Noroeste;Casa de Campo;2,4
2023-05-19;Velocidad del viento;Noroeste;Casa de Campo;2,1
2023-05-20;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-05-21;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-05-22;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-05-23;Velocidad del viento;Noroeste;Casa de Campo;2,2
2023-05-24;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-05-25;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-05-26;Velocidad del viento;Noroeste;Casa de Campo;1,8
2023-05-27;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-05-28;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-05-29;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-05-30;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-05-31;Velocidad del viento;Noroeste;Casa de Campo;1,2
