Fecha;Magnitud;Zona;Estación;Valor
2023-09-01;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-09-02;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-09-03;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-09-04;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-09-05;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-09-06;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-09-07;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-09-08;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-09-09;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-09-10;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-09-11;Velocidad del viento;Noroeste;Casa de Campo;1,5
2023-09-12;Velocidad del viento;Noroeste;Casa de Campo;0,9
2023-09-13;Velocidad del viento;Noroeste;Casa de Campo;1,1
2023-09-14;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-09-15;Velocidad del viento;Noroeste;Casa de Campo;1,6
2023-09-16;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-09-17;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-09-18;Velocidad del viento;Noroeste;Casa de Campo;1,3
2023-09-19;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-09-20;Velocidad del viento;Noroeste;Casa de Campo;1,9
2023-09-21;Velocidad del viento;Noroeste;Casa de Campo;2,6
2023-09-22;Velocidad del viento;Noroeste;Casa de Campo;1,4
2023-09-23;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-09-24;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-09-25;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-09-26;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-09-27;Velocidad del viento;Noroeste;Casa de Campo;0,9
2023-09-28;Velocidad del viento;Noroeste;Casa de Campo;1,0
2023-09-29;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-09-30;Velocidad del viento;Noroeste;Casa de Campo;0,7
