Fecha;Magnitud;Zona;Estación;Valor
2023-10-01;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-02;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-03;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-10-04;Velocidad del viento;Noroeste;Casa de Campo;0,8
2023-10-05;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-06;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-07;Velocidad del viento;Noroeste;Casa de Campo;0,5
2023-10-08;Velocidad del viento;Noroeste;Casa de Campo;0,5
2023-10-09;Velocidad del viento;Noroeste;Casa de Campo;0,6
2023-10-10;Velocidad del viento;Noroeste;Casa de Campo;0,6
2023-10-11;Velocidad del viento;Noroeste;Casa de Campo;0,6
2023-10-12;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-13;Velocidad del viento;Noroeste;Casa de Campo;0,9
2023-10-14;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-15;Velocidad del viento;Noroeste;Casa de Campo;0,7
2023-10-16;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-10-17;Velocidad del viento;Noroeste;Casa de Campo;2,4
2023-10-18;Velocidad del viento;Noroeste;Casa de Campo;3,4
2023-10-19;Velocidad del viento;Noroeste;Casa de Campo;2,2
2023-10-20;Velocidad del viento;Noroeste;Casa de Campo;2,8
2023-10-21;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-10-22;Velocidad del viento;Noroeste;Casa de Campo;1,2
2023-10-23;Velocidad del viento;Noroeste;Casa de Campo;1,7
2023-10-24;Velocidad del viento;Noroeste;Casa de Campo;2,4
2023-10-25;Velocidad del viento;Noroeste;Casa de Campo;2,9
2023-10-26;Velocidad del viento;Noroeste;Casa de Campo;3,3
2023-10-27;Velocidad del viento;Noroeste;Casa de Campo;2,6
2023-10-28;Velocidad del viento;Noroeste;Casa de Campo;3,0
2023-10-29;Velocidad del viento;Noroeste;Casa de Campo;2,3
2023-10-30;Velocidad del viento;Noroeste;Casa de Campo;1,9
2023-10-31;Velocidad del viento;Noroeste;Casa de Campo;0,6
