Fecha;Magnitud;Zona;Estación;Valor
2024-04-01;Humedad relativa;Noroeste;Casa de Campo;82
2024-04-02;Humedad relativa;Noroeste;Casa de Campo;79
2024-04-03;Humedad relativa;Noroeste;Casa de Campo;72
2024-04-04;Humedad relativa;Noroeste;Casa de Campo;72
2024-04-05;Humedad relativa;Noroeste;Casa de Campo;66
2024-04-06;Humedad relativa;Noroeste;Casa de Campo;53
2024-04-07;Humedad relativa;Noroeste;Casa de Campo;67
2024-04-08;Humedad relativa;Noroeste;Casa de Campo;71
2024-04-09;Humedad relativa;Noroeste;Casa de Campo;50
2024-04-10;Humedad relativa;Noroeste;Casa de Campo;54
2024-04-11;Humedad relativa;Noroeste;Casa de Campo;54
2024-04-12;Humedad relativa;Noroeste;Casa de Campo;46
2024-04-13;Humedad relativa;Noroeste;Casa de Campo;53
2024-04-14;Humedad relativa;Noroeste;Casa de Campo;51
2024-04-15;Humedad relativa;Noroeste;Casa de Campo;53
2024-04-16;Humedad relativa;Noroeste;Casa de Campo;51
2024-04-17;Humedad relativa;Noroeste;Casa de Campo;48
2024-04-18;Humedad relativa;Noroeste;Casa de Campo;47
2024-04-19;Humedad relativa;Noroeste;Casa de Campo;47
2024-04-20;Humedad relativa;Noroeste;Casa de Campo;50
2024-04-21;Humedad relativa;Noroeste;Casa de Campo;34
2024-04-22;Humedad relativa;Noroeste;Casa de Campo;38
2024-04-23;Humedad relativa;Noroeste;Casa de Campo;42
2024-04-24;Humedad relativa;Noroeste;Casa de Campo;43
2024-04-25;Humedad relativa;Noroeste;Casa de Campo;47
2024-04-26;Humedad relativa;Noroeste;Casa de Campo;57
2024-04-27;Humedad relativa;Noroeste;Casa de Campo;78
2024-04-28;Humedad relativa;Noroeste;Casa de Campo;61
2024-04-29;Humedad relativa;Noroeste;Casa de Campo;62
2024-04-30;Humedad relativa;Noroeste;Casa de Campo;69
