Fecha;Magnitud;Zona;Estación;Valor
2024-08-01;Humedad relativa;Noroeste;Casa de Campo;26
2024-08-02;Humedad relativa;Noroeste;Casa de Campo;35
2024-08-03;Humedad relativa;Noroeste;Casa de Campo;40
2024-08-04;Humedad relativa;Noroeste;Casa de Campo;30
2024-08-05;Humedad relativa;Noroeste;Casa de Campo;27
2024-08-06;Humedad relativa;Noroeste;Casa de Campo;27
2024-08-07;Humedad relativa;Noroeste;Casa de Campo;30
2024-08-08;Humedad relativa;Noroeste;Casa de Campo;30
2024-08-09;Humedad relativa;Noroeste;Casa de Campo;28
2024-08-10;Humedad relativa;Noroeste;Casa de Campo;25
2024-08-11;Humedad relativa;Noroeste;Casa de Campo;26
2024-08-12;Humedad relativa;Noroeste;Casa de Campo;32
2024-08-13;Humedad relativa;Noroeste;Casa de Campo;41
2024-08-14;Humedad relativa;Noroeste;Casa de Campo;40
2024-08-15;Humedad relativa;Noroeste;Casa de Campo;40
2024-08-16;Humedad relativa;Noroeste;Casa de Campo;36
2024-08-17;Humedad relativa;Noroeste;Casa de Campo;29
2024-08-18;Humedad relativa;Noroeste;Casa de Campo;36
2024-08-19;Humedad relativa;Noroeste;Casa de Campo;32
2024-08-20;Humedad relativa;Noroeste;Casa de Campo;29
2024-08-21;Humedad relativa;Noroeste;Casa de Campo;36
2024-08-22;Humedad relativa;Noroeste;Casa de Campo;38
2024-08-23;Humedad relativa;Noroeste;Casa de Campo;28
2024-08-24;Humedad relativa;Noroeste;Casa de Campo;39
2024-08-25;Humedad relativa;Noroeste;Casa de Campo;42
2024-08-26;Humedad relativa;Noroeste;Casa de Campo;45
2024-08-27;Humedad relativa;Noroeste;Casa de Campo;37
2024-08-28;Humedad relativa;Noroeste;Casa de Campo;34
2024-08-29;Humedad relativa;Noroeste;Casa de Campo;66
2024-08-30;Humedad relativa;Noroeste;Casa de Campo;63
2024-08-31;Humedad relativa;Noroeste;Casa de Campo;67
