Fecha;Magnitud;Zona;Estación;Valor
2024-12-01;Humedad relativa;Noroeste;Casa de Campo;87
2024-12-02;Humedad relativa;Noroeste;Casa de Campo;87
2024-12-03;Humedad relativa;Noroeste;Casa de Campo;82
2024-12-04;Humedad relativa;Noroeste;Casa de Campo;66
2024-12-05;Humedad relativa;Noroeste;Casa de Campo;76
2024-12-06;Humedad relativa;Noroeste;Casa de Campo;81
2024-12-07;Humedad relativa;Noroeste;Casa de Campo;66
2024-12-08;Humedad relativa;Noroeste;Casa de Campo;55
2024-12-09;Humedad relativa;Noroeste;Casa de Campo;62
2024-12-10;Humedad relativa;Noroeste;Casa de Campo;67
2024-12-11;Humedad relativa;Noroeste;Casa de Campo;62
2024-12-12;Humedad relativa;Noroeste;Casa de Campo;76
2024-12-13;Humedad relativa;Noroeste;Casa de Campo;84
2024-12-14;Humedad relativa;Noroeste;Casa de Campo;96
2024-12-15;Humedad relativa;Noroeste;Casa de Campo;
2024-12-16;Humedad relativa;Noroeste;Casa de Campo;
2024-12-17;Humedad relativa;Noroeste;Casa de Campo;70
2024-12-18;Humedad relativa;Noroeste;Casa de Campo;79
2024-12-19;Humedad relativa;Noroeste;Casa de Campo;82
2024-12-20;Humedad relativa;Noroeste;Casa de Campo;64
2024-12-21;Humedad relativa;Noroeste;Casa de Campo;74
2024-12-22;Humedad relativa;Noroeste;Casa de Campo;74
2024-12-23;Humedad relativa;Noroeste;Casa de Campo;63
2024-12-24;Humedad relativa;Noroeste;Casa de Campo;71
2024-12-25;Humedad relativa;Noroeste;Casa de Campo;75
2024-12-26;Humedad relativa;Noroeste;Casa de Campo;78
2024-12-27;Humedad relativa;Noroeste;Casa de Campo;82
2024-12-28;Humedad relativa;Noroeste;Casa de Campo;80
2024-12-29;Humedad relativa;Noroeste;Casa de Campo;79
2024-12-30;Humedad relativa;Noroeste;Casa de Campo;80
2024-12-31;Humedad relativa;Noroeste;Casa de Campo;77
